# Started at: 2021-04-03 01:48:29 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment7_ref_out/Instance5/1/reference.json.yaml.csv -- demos-sched -c /root/experiment7_ref/Instance5/reference.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10628,30100,30900,30700,29900,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.003e+06,33.3333,33.3333,33.3333,0,0,0
140.291,,,,,,,,,,,,,,64.10,60.01,,,,,,,,,,,,,,
995.681,31300,31900,30900,30500,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7084e+06,59.1837,75.7576,80,69.697,41.4141,32.0388
1135.21,,,,,,,,,,,,,23.238,,,,,,,,,,,,,,,,
1995.32,31300,32600,31500,30500,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6728e+06,62.3762,75.7576,83.8384,96.0396,40.404,32.6531
2995.37,31500,32100,31500,30700,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3024e+06,60.396,80,82,88.8889,35.2941,30.303
3995.7,32100,33400,31700,31100,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.997e+06,56.5657,76.2376,83,86,45.4545,31
4995.8,32100,33600,32100,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5508e+06,69,78,86,86,35,19.1919
5995.72,31700,32600,32300,31300,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7636e+06,60.396,79.2079,87,86,31.3131,15
6995.34,32500,33000,32100,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3718e+06,72.7273,91,90,85.8586,43.4343,30
