# Started at: 2021-03-28 00:02:22 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment7_out/Instance5/2/RALTF3.json.yaml.csv -- demos-sched -c /root/experiment7/Instance5/RALTF3.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09815,29700,30300,30300,29500,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8818e+06,0,50,0,0,0,0
127.373,,,,,,,,,,,,,,54.24,51.99,,,,,,,,,,,,,,
994.541,30900,31900,31100,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.759e+06,88.1188,85,67.3267,53,45,39.7959
1994.78,31100,32500,31300,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3678e+06,75,70.7071,60,53,50,44
2089.91,,,,,,,,,,,,,22.906,,,,,,,,,,,,,,,,
2994.77,31500,32500,31500,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.516e+06,74.7475,69.3069,57.4257,41.4141,49.505,44
3994.7,31700,31900,31700,30700,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1306e+06,74.2574,71,60,43.4343,45.9184,39.3939
4994.75,31900,33200,31900,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.728e+06,76,68,61.6162,51.9608,59,53.5354
5994.53,31500,31900,31900,31100,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5924e+06,74.7475,68,55,39.3939,45.5446,39.604
6995.23,31700,32600,32100,31500,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8146e+06,89.899,83.8384,71.7172,53.5354,57.4257,52
7994.8,32100,33000,32500,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7308e+06,85,78.2178,70.297,55.102,47.4747,43
8994.51,32800,33400,32600,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2806e+06,74,70.7071,61.6162,50.5051,50,45
9994.76,32800,34000,32800,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4844e+06,75.2475,69,56.5657,41,49.505,45
10243.4,,,,,,,,,,,,,,54.12,51.91,,,,,,,,,,,,,,
10994.4,32800,33200,32800,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4976e+06,75.2475,70.7071,62,46,47.9592,42.4242
11994.7,32800,34400,33400,32500,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1622e+06,74.7475,68.3168,60.396,49,59,53
12149.9,,,,,,,,,,,,,22.916,,,,,,,,,,,,,,,,
12994.8,32800,33600,33600,32300,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8116e+06,76.2376,68.6869,55.5556,39.3939,44,37.6238
13994.3,33200,34400,33600,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6008e+06,91.9192,85,72,56.1224,59.4059,53.0612
14994.8,33600,34400,34000,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8124e+06,82.8283,76,68,56.4356,44.4444,42.5743
15994.4,33800,34400,34000,33000,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.764e+06,74.2574,71,62,48.4848,50.495,45
16994.8,34000,35400,34400,33200,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.223e+06,76,69,57,40.8163,50,45.5446
17994.6,34000,34400,34400,33400,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8916e+06,74.4898,71,63.3663,47.5248,49.4949,44
18994.7,34200,35800,34600,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0302e+06,74.5098,67.6768,58,47.4747,58,52
19994.6,34000,34600,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8144e+06,77.7778,70.5882,58,41.5842,45.098,39
20346.5,,,,,,,,,,,,,,54.08,51.83,,,,,,,,,,,,,,
20994.4,34800,36200,35200,34200,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0984e+06,91.9192,85.8586,72.7273,57.8431,59.596,56
21994.7,35000,35800,35400,34200,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.184e+06,80.198,75,67,56.1224,44,40.1961
22212.7,,,,,,,,,,,,,22.906,,,,,,,,,,,,,,,,
22994.8,35200,36000,35800,34400,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.367e+06,74.7475,69,59.596,47.5248,50,44.4444
23994.5,35200,36400,35200,34200,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4816e+06,75.2475,70,57.5758,39.7959,50.495,44
24994.4,35600,36000,36000,34600,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8956e+06,75,71,64.3564,50.495,52.0408,45
25994.4,35400,37200,35800,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3726e+06,74,67.6768,56.1224,44.4444,56,49.4949
26994.6,35200,36400,36200,35000,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1892e+06,79.2079,72.2772,60.7843,44,47,41
27994.7,36000,37500,36600,35400,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3848e+06,91.9192,85.1485,72.449,55.6701,57.5758,53
28994.4,36400,37200,36800,35800,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3612e+06,79,74.7475,67.3267,55.5556,45,42.7184
29994.7,36400,37200,36800,35400,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7698e+06,76,68.3168,57.4257,46.6019,48.0392,44
30455.4,,,,,,,,,,,,,,54.12,51.91,,,,,,,,,,,,,,
30995.2,36400,37700,37000,35400,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.681e+06,74.7475,73.1959,56.1224,39.7959,50,44.4444
31994.6,36400,37400,37000,35800,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1068e+06,75,70.5882,66.3366,51,53.5354,46.4646
32273.9,,,,,,,,,,,,,22.906,,,,,,,,,,,,,,,,
32994.7,36400,37900,37200,36000,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.431e+06,75,68,56,43.5644,55,49.0196
33994.5,36400,37500,37400,36200,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7672e+06,81,75.5102,62.3762,45.4545,48,42.4242
34994.8,37200,38500,37500,36600,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1872e+06,91.9192,85,72.2772,55.5556,56,51.4851
35994.5,37400,39300,37900,36800,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4596e+06,77,73.5294,66.6667,56,47,42
36994.8,37500,38700,37900,36600,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7756e+06,75,70,58.4158,45.5446,47,43.4343
37994.8,37400,38700,37700,36600,37000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4106e+06,74,67.6768,56.1224,38.7755,47.9592,43
38994.8,37700,38500,38100,37000,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4066e+06,75,70,64.7059,52.5253,56.4356,48.4848
39994.7,37200,38700,38300,37000,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.685e+06,75,68.3168,55.6701,41.5842,51.5152,46
40580.9,,,,,,,,,,,,,,54.20,51.91,,,,,,,,,,,,,,
40994.6,37400,38700,38500,37400,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6224e+06,83.1683,76.7677,63.7255,47.4747,51.4851,45.4545
41995.2,37900,39700,38700,37400,38100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1634e+06,91.9192,85,73.4694,55.5556,53,49.505
42335.6,,,,,,,,,,,,,22.916,,,,,,,,,,,,,,,,
42994.5,38300,40100,39100,37700,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5676e+06,75,71,65.3465,56,50,44.5545
43994.8,38500,39900,39100,37900,38100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4478e+06,75.2475,69.3069,57,43,47,41.8367
44994.7,38300,39300,38900,37500,37700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.973e+06,75,68.3673,55.5556,38.7755,46.5347,41
45994.5,38500,39300,39300,37900,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6484e+06,75.2475,70,64.3564,55,57.5758,52
46994.8,38300,39700,39300,38100,38100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2348e+06,75,69.6078,56,39,50.9804,44.4444
47994.5,38500,39700,39300,38100,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9138e+06,84.8485,78.7879,66.3366,49.4949,52.5253,46.5347
48994.8,38900,40700,39500,38100,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.245e+06,89,83.8384,72.449,56.4356,51.5152,48
49994.5,39100,40700,39500,38500,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5678e+06,76,70,62.6263,56,50.495,45
50681.3,,,,,,,,,,,,,,54.24,51.99,,,,,,,,,,,,,,
50994.7,39100,40900,39700,38500,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7458e+06,74.7475,69.6078,56.5657,41,47.9592,46
51995,38900,39500,39500,38300,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9344e+06,74.7475,69,56.8627,39.3939,44.5545,40
52400.6,,,,,,,,,,,,,22.916,,,,,,,,,,,,,,,,
52994.4,39300,40300,39900,38500,38900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4138e+06,74.2574,70,65.6566,53.5354,59.1837,52.5253
