# Started at: 2021-04-24 02:57:52 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance1/2/refLTF.json.yaml.csv -- demos-sched -c /root/experiment8/Instance1/refLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.0924,30100,30900,30500,29700,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
121.02,,,,,,,,,,,,,,66.24,62.36,,,,,,,,,,,,,,
992.191,31300,31900,31300,30300,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,89.2157,75.5102,71.2871,66.6667,37.3737,32.3232
1083.37,,,,,,,,,,,,,25.211,,,,,,,,,,,,,,,,
1992.55,31700,31900,31700,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8227427.344227823,,,,,,,,92,79,76.7677,71.7172,35.3535,27
2992.86,31500,32100,31700,30900,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7710699.487949345,,,,,,,,93.9394,81,76,69,38,30
3993.04,32300,32800,32300,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8292231.395682684,,,,,,,,94.9495,92,88.8889,82,43.4343,32.3232
4992.63,32500,33400,32500,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8085451.2098021945,,,,,,,,94.0594,81.1881,77.451,69.3069,37.6238,27.7228
5992.85,32600,33600,32600,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8289748.648218604,,,,,,,,100,87,85,80.8081,37.3737,29.2929
6992.72,33000,34600,33000,32100,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8092738.838442772,,,,,,,,94.0594,81.8182,77.7778,70,42.5743,31.6832
7992.75,33000,34200,33200,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8174343.44942603,,,,,,,,94,81,78.2178,73,39,28.2828
8992.74,33000,33400,33400,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7986098.159308119,,,,,,,,93.9394,82.1782,78,70.297,34,27
9992.63,33400,34400,33800,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8279603.648765728,,,,,,,,94.0594,91.0891,88,80.8081,47.4747,35.3535
10244.3,,,,,,,,,,,,,,66.28,62.11,,,,,,,,,,,,,,
10992.2,33800,34600,34000,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8261611.635526479,,,,,,,,94,80.8081,76.7677,69,33,24.2424
11143.4,,,,,,,,,,,,,25.222,,,,,,,,,,,,,,,,
11992.2,34000,35000,34200,33200,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8398248.42219712,,,,,,,,100,87,84.1584,81,41,34
12992.7,34400,35800,34200,33400,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8023149.577385026,,,,,,,,94.0594,82,78,70.297,42,32
13992.9,34400,35800,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7976709.955245712,,,,,,,,94,81,78.7879,74,40.404,29
14992.7,34400,35000,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8092256.603369878,,,,,,,,94.9495,87,82.8283,75,34,27
