# Started at: 2021-04-24 08:25:29 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance1/3/globalILP.json.yaml.csv -- demos-sched -c /root/experiment8/Instance1/globalILP.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11365,29700,30700,30500,29500,29900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,33.3333,0,0
122.106,,,,,,,,,,,,,,66.24,62.31,,,,,,,,,,,,,,
991.363,31300,31500,30900,29900,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,73.1959,88.7755,50.5051,53,21,27.551
1184.2,,,,,,,,,,,,,24.933,,,,,,,,,,,,,,,,
1991.3,31300,31500,31300,30500,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7703941.752999537,,,,,,,,82,85.8586,51.5152,40.404,32.3232,32
2991.19,31700,32300,31300,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7451766.283210526,,,,,,,,84,91.0891,60.396,44,38.6139,42
3991.5,31700,32100,31700,30900,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7786929.744915924,,,,,,,,93.0693,89,66,53,33.3333,37
4991.12,31900,33000,32100,31500,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8582555.360545106,,,,,,,,84,89,75.7576,63.3663,43.5644,48.4848
5991.2,32500,34000,32500,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8783551.361533944,,,,,,,,92,97.9798,62.3762,62.6263,33,40
6991.37,32800,33800,32600,32300,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8394837.585320018,,,,,,,,85,89.1089,55.4455,44,35,38
7991.19,32600,33400,32500,31700,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7829214.147664038,,,,,,,,84,90.9091,59,45,35,33.3333
8991.51,32500,33000,32800,31900,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7302076.270946873,,,,,,,,85,88.8889,56.5657,42,34,38
9991.11,33200,33600,33200,32500,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7925123.778747511,,,,,,,,92.0792,89.1089,70,57.4257,38.3838,43
10274.7,,,,,,,,,,,,,,66.45,62.36,,,,,,,,,,,,,,
10991.4,34000,35000,33600,33000,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8714936.83205582,,,,,,,,89,93.9394,76.2376,62.6263,44,48
11239.8,,,,,,,,,,,,,24.922,,,,,,,,,,,,,,,,
11991.3,33800,35400,34000,33000,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8552477.327259986,,,,,,,,87.8788,93,57.1429,60,32,39.3939
12991.6,33800,35400,33800,33000,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8193901.78082486,,,,,,,,84,89.899,55,42.5743,35,36
13991.5,34400,34600,34000,33200,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7938878.891767839,,,,,,,,85,90.9091,61.3861,45,34.3434,36.6337
14999.3,33800,34600,34400,33200,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7538912.037914529,,,,,,,,84.1584,89.2157,54.902,42,30,33
15990.7,34400,35000,34600,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8110433.973809077,,,,,,,,93,88.7755,75.7576,61.6162,43.5644,47.4747
16991.4,34800,35800,34800,34000,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8557015.584992055,,,,,,,,91,97.9798,70.7071,62.6263,39.3939,48
17990.8,35000,36600,35200,34200,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8429451.331739917,,,,,,,,85,89.1089,57,55,32,34.3434
