# Started at: 2021-04-24 08:58:11 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance1/3/minutilLTF.json.yaml.csv -- demos-sched -c /root/experiment8/Instance1/minutilLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09203,30100,30700,30300,29300,30100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,50,0,0,33.3333,50
112.501,,,,,,,,,,,,,,65.59,61.70,,,,,,,,,,,,,,
993.333,30900,32600,30900,30300,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,17,8.16327,15.8416,10,77.2277,72.2772
1105.9,,,,,,,,,,,,,24.975,,,,,,,,,,,,,,,,
1992.84,31300,33200,31300,30900,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8647474.119626537,,,,,,,,12.1212,9.09091,8.08081,0,91.0891,87
2993.1,31700,33200,31500,31300,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8735395.681651574,,,,,,,,13.7255,10,8.91089,0,98.9899,93.9394
3993.36,31900,33400,32100,31300,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8959168.97251965,,,,,,,,11.1111,10,7.14286,0,98,94
4992.85,32100,34200,32500,32100,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9140733.777526792,,,,,,,,1.0101,1,1,1,99.0196,94.0594
5992.92,32500,34600,32500,31900,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9007102.224261392,,,,,,,,11,9.90099,7,0,100,96.9388
6992.77,32800,35000,33000,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9013962.95166179,,,,,,,,12.1212,10.101,8.08081,0,98.9899,95.0495
7992.85,32800,35200,33200,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8900523.916355532,,,,,,,,12.8713,10.8911,8.91089,0,98.0392,93.9394
8992.7,33200,35000,33400,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8872348.87065844,,,,,,,,11.1111,10,8,0,98.9899,94.9495
9993.23,33600,35400,33800,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9015898.688234672,,,,,,,,12.1212,10,8.08081,0,98.9899,94
10219.5,,,,,,,,,,,,,,66.00,62.11,,,,,,,,,,,,,,
10992.7,33600,36200,34000,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9125113.19310869,,,,,,,,1,3.0303,0,1,100,97
11169.4,,,,,,,,,,,,,25.018,,,,,,,,,,,,,,,,
11993.1,33800,36200,34400,33600,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9023279.42962266,,,,,,,,12,10,8.08081,0,98,94.0594
12992.4,34000,36400,34600,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9003084.743281707,,,,,,,,12.1212,10,8,0,98.9899,94.9495
