instance,solver,time,objective-reported,objective,length
IN_20.json.out,ILP Solver (global):predictor (Python),2195,2.05742402296927,1.8144515802628465,882
IN_22.json.out,ILP Solver (global):predictor (Python),4044,1.9881486302465163,1.7301945688426494,973
IN_24.json.out,ILP Solver (global):predictor (Python),117,-1,0.0,0
IN_26.json.out,ILP Solver (global):predictor (Python),1542,-1,0.0,0
IN_28.json.out,ILP Solver (global):predictor (Python),352,-1,0.0,0
IN_30.json.out,ILP Solver (global):predictor (Python),600032,1.8709774352724655,1.6778824898600577,1297
IN_32.json.out,ILP Solver (global):predictor (Python),600039,1.751404039412736,1.593698613515922,1399
IN_34.json.out,ILP Solver (global):predictor (Python),600043,1.8161923188554603,1.6089740010257811,1593
IN_36.json.out,ILP Solver (global):predictor (Python),600019,1.5881100587733086,1.4821582261193544,1594
IN_38.json.out,ILP Solver (global):predictor (Python),600018,1.939139087208928,1.7310872546451934,1700
IN_40.json.out,ILP Solver (global):predictor (Python),600014,1.7687436033288453,1.589631754780809,1771
IN_42.json.out,ILP Solver (global):predictor (Python),600044,1.8528647611290214,1.6510687094330787,1985
IN_44.json.out,ILP Solver (global):predictor (Python),600025,2.0023394971340647,1.829285735271871,1958
IN_46.json.out,ILP Solver (global):predictor (Python),600022,1.782741673250005,1.626180615933104,2192
IN_48.json.out,ILP Solver (global):predictor (Python),600020,1.8883158786323935,1.687022977423939,2200
IN_50.json.out,ILP Solver (global):predictor (Python),600034,1.8060622904325512,1.628363007462273,2393
instance,solver,time,objective-reported,objective,length
IN_20.json.out,ILP Solver (global):predictor (Python-gen),2823,2.0574240229692706,1.8144515802628465,882
IN_22.json.out,ILP Solver (global):predictor (Python-gen),6166,1.9881486302465199,1.7301945688426494,973
IN_24.json.out,ILP Solver (global):predictor (Python-gen),63685,1.669190653413501,1.5206085202900264,1296
IN_26.json.out,ILP Solver (global):predictor (Python-gen),143005,1.415121253476681,1.3383543820908437,1229
IN_28.json.out,ILP Solver (global):predictor (Python-gen),382002,1.940304887822036,1.7221023941727784,1298
IN_30.json.out,ILP Solver (global):predictor (Python-gen),600048,1.8709774352724136,1.6778824898600577,1297
IN_32.json.out,ILP Solver (global):predictor (Python-gen),600041,1.7655340053574415,1.577018987004246,1396
IN_34.json.out,ILP Solver (global):predictor (Python-gen),600034,1.8161932695657015,1.5950431254412978,1593
IN_36.json.out,ILP Solver (global):predictor (Python-gen),600018,1.5855263404809068,1.4792720604408531,1575
IN_38.json.out,ILP Solver (global):predictor (Python-gen),600025,1.9378064352555895,1.7236629789278788,1699
IN_40.json.out,ILP Solver (global):predictor (Python-gen),600017,1.7687436033288633,1.589631754780809,1771
IN_42.json.out,ILP Solver (global):predictor (Python-gen),600036,1.897781200803816,1.6413290270790457,1992
IN_44.json.out,ILP Solver (global):predictor (Python-gen),600029,1.9998199739754192,1.8267662121132016,1972
IN_46.json.out,ILP Solver (global):predictor (Python-gen),600018,1.7848439718037805,1.6259730559926142,2175
IN_48.json.out,ILP Solver (global):predictor (Python-gen),600030,1.8902448337321602,1.685150391114029,2192
IN_50.json.out,ILP Solver (global):predictor (Python-gen),600027,1.8209948912697382,1.648415342407922,2393
instance,solver,time,objective-reported,objective,length
IN_20.json.out,ILP Solver (global):predictor,6007,-1,2.0574240229692724,882
IN_22.json.out,ILP Solver (global):predictor,9856,-1,1.98814863024652,973
IN_24.json.out,ILP Solver (global):predictor,150317,-1,1.6691906534135341,1296
IN_26.json.out,ILP Solver (global):predictor,233484,-1,1.415121253476693,1229
IN_28.json.out,ILP Solver (global):predictor,600049,-1,1.9423313930057562,1299
IN_30.json.out,ILP Solver (global):predictor,600025,-1,1.8709774352724735,1297
IN_32.json.out,ILP Solver (global):predictor,600053,-1,1.7645846149751119,1395
IN_34.json.out,ILP Solver (global):predictor,600029,-1,1.8170541340298951,1599
IN_36.json.out,ILP Solver (global):predictor,600021,-1,1.5855263914354145,1575
IN_38.json.out,ILP Solver (global):predictor,600024,-1,1.9267333256584755,1692
IN_40.json.out,ILP Solver (global):predictor,600023,-1,1.770476855478353,1788
IN_42.json.out,ILP Solver (global):predictor,600024,-1,1.8681411346122623,1975
IN_44.json.out,ILP Solver (global):predictor,600018,-1,2.0497825360670685,1954
IN_46.json.out,ILP Solver (global):predictor,600029,-1,1.7833349763737483,2185
IN_48.json.out,ILP Solver (global):predictor,600019,-1,1.9215953281657263,2195
IN_50.json.out,ILP Solver (global):predictor,600014,-1,1.8582071976177394,2371
