instance,solver,time,objective-reported,objective,length
IN_000.json-bap.out,BAP,912,1.7085496460735097,1.7085496460735097,93
IN_000.json-global.out,ILP Solver (global):predictor (Python),21,1.708549646073509,1.7085496460735097,93
IN_001.json-bap.out,BAP,348,0.5505393375926456,0.5505393375926456,200
IN_001.json-global.out,ILP Solver (global):predictor (Python),463,0.5505393375926434,0.5505393375926456,200
IN_002.json-bap.out,BAP,5819,1.4550407730540407,1.4550407730540407,135
IN_002.json-global.out,ILP Solver (global):predictor (Python),154,1.4550407730540396,1.455040773054041,135
IN_003.json-bap.out,BAP,11049,2.1436055139833132,2.1436055139833132,146
IN_003.json-global.out,ILP Solver (global):predictor (Python),122,2.143605513983313,2.1436055139833137,146
IN_004.json-bap.out,BAP,707,0.5871204598737684,0.5871204598737684,209
IN_004.json-global.out,ILP Solver (global):predictor (Python),6614,0.5871204598737626,0.5871204598737684,209
IN_005.json-bap.out,BAP,4336,0.6996652492997129,0.6996652492997129,231
IN_005.json-global.out,ILP Solver (global):predictor (Python),10590,0.6996652492997122,0.699665249299713,231
IN_006.json-bap.out,BAP,1112,0.5831135175578909,0.5831135175578909,220
IN_006.json-global.out,ILP Solver (global):predictor (Python),469,0.58311351755789,0.5831135175578909,220
IN_007.json-bap.out,BAP,449,0.7368862001356214,0.7368862001356214,228
IN_007.json-global.out,ILP Solver (global):predictor (Python),845,0.7368862001356207,0.7368862001356214,228
IN_008.json-bap.out,BAP,737,0.6321003162903697,0.6321003162903697,196
IN_008.json-global.out,ILP Solver (global):predictor (Python),462,0.6321003162903687,0.6321003162903697,196
IN_009.json-bap.out,BAP,695,1.0590864552509291,1.0590864552509291,152
IN_009.json-global.out,ILP Solver (global):predictor (Python),174,1.059086455250929,1.0590864552509291,152
IN_010.json-bap.out,BAP,654,1.1176262968877286,1.1176262968877286,128
IN_010.json-global.out,ILP Solver (global):predictor (Python),231,1.1176262968877273,1.1176262968877286,128
IN_011.json-bap.out,BAP,2007,0.5102247959323474,0.5102247959323474,152
IN_011.json-global.out,ILP Solver (global):predictor (Python),775,0.510224795932347,0.5102247959323474,152
IN_012.json-bap.out,BAP,32431,0.8183246270434528,0.8183246270434528,142
IN_012.json-global.out,ILP Solver (global):predictor (Python),110,0.8183246270434525,0.8183246270434528,142
IN_013.json-bap.out,BAP,684,0.3101603168708355,0.3101603168708355,274
IN_013.json-global.out,ILP Solver (global):predictor (Python),4355,0.31016031687083406,0.3101603168708355,274
IN_014.json-bap.out,BAP,162,0.42740596520446866,0.42740596520446866,282
IN_014.json-global.out,ILP Solver (global):predictor (Python),5951,0.4274059652044659,0.4274059652044688,282
IN_015.json-bap.out,BAP,901,0.5807229977974745,0.5807229977974745,154
IN_015.json-global.out,ILP Solver (global):predictor (Python),249,0.5807229977974732,0.5807229977974745,154
IN_016.json-bap.out,BAP,550,0.35001693922769317,0.35001693922769317,188
