instance,solver,time,objective-reported,objective,length,metadata
IN_01.json-bap-task.out,BAP_ON_TASKS,6,0.07852571527163188,0.07852571527163188,287,"{""objective"": ""0.07852571527163188"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.00"", ""master_relaxation"": ""0.078526"", ""patterns_generated_avg"": ""0.00"", ""optimal"": ""True""}"
IN_01.json-bap.out,BAP_ON_PAIRS,26,0.07852571527163188,0.07852571527163188,287,"{""objective"": ""0.07852571527163188"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""0.078526"", ""patterns_generated_avg"": ""0.00"", ""optimal"": ""True""}"
IN_01.json-global.out,ILP Solver (global):predictor (Python),1,0.07852571527163188,0.07852571527163188,287,"{""objective"": ""0.07852571527163188""}"
IN_02.json-bap-task.out,BAP_ON_TASKS,14,0.09975608758628368,0.09975608758628368,287,"{""objective"": ""0.09975608758628368"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.00"", ""master_relaxation"": ""0.099756"", ""patterns_generated_avg"": ""2.00"", ""optimal"": ""True""}"
IN_02.json-bap.out,BAP_ON_PAIRS,14,0.09975608758628368,0.09975608758628368,287,"{""objective"": ""0.09975608758628368"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.00"", ""master_relaxation"": ""0.099756"", ""patterns_generated_avg"": ""2.00"", ""optimal"": ""True""}"
IN_02.json-global.out,ILP Solver (global):predictor (Python),3,0.09975608758628368,0.09975608758628368,287,"{""objective"": ""0.09975608758628368""}"
IN_03.json-bap-task.out,BAP_ON_TASKS,19,0.12858908750116826,0.12858908750116826,287,"{""objective"": ""0.12858908750116826"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""0.128589"", ""patterns_generated_avg"": ""2.00"", ""optimal"": ""True""}"
IN_03.json-bap.out,BAP_ON_PAIRS,15,0.12858908750116826,0.12858908750116826,287,"{""objective"": ""0.12858908750116826"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.00"", ""master_relaxation"": ""0.128589"", ""patterns_generated_avg"": ""2.00"", ""optimal"": ""True""}"
IN_03.json-global.out,ILP Solver (global):predictor (Python),5,0.12858908750116826,0.12858908750116826,287,"{""objective"": ""0.12858908750116826""}"
IN_04.json-bap-task.out,BAP_ON_TASKS,20,0.15087117123727997,0.15087117123727997,287,"{""objective"": ""0.15087117123727997"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.01"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""0.150871"", ""patterns_generated_avg"": ""3.00"", ""optimal"": ""True""}"
IN_04.json-bap.out,BAP_ON_PAIRS,26,0.15087117123727997,0.15087117123727997,287,"{""objective"": ""0.15087117123727997"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.01"", ""time_sub_solving"": ""0.01"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""0.150871"", ""patterns_generated_avg"": ""3.00"", ""optimal"": ""True""}"
IN_04.json-global.out,ILP Solver (global):predictor (Python),10,0.15087117123727997,0.15087117123727997,287,"{""objective"": ""0.15087117123727997""}"
IN_05.json-bap-task.out,BAP_ON_TASKS,323,0.18515063283964991,0.18515063283964991,287,"{""objective"": ""0.18515063283964991"", ""number_of_nodes"": ""11"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.07"", ""time_sub_solving"": ""0.12"", ""time_global"": ""0.03"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.04"", ""master_relaxation"": ""0.179664"", ""patterns_generated_avg"": ""2.82"", ""optimal"": ""True""}"
IN_05.json-bap.out,BAP_ON_PAIRS,177,0.18515063283964991,0.18515063283964991,287,"{""objective"": ""0.18515063283964991"", ""number_of_nodes"": ""7"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.07"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.04"", ""master_relaxation"": ""0.179664"", ""patterns_generated_avg"": ""2.29"", ""optimal"": ""True""}"
IN_05.json-global.out,ILP Solver (global):predictor (Python),31,0.18515063283964991,0.18515063283964991,287,"{""objective"": ""0.18515063283964991""}"
IN_06.json-bap-task.out,BAP_ON_TASKS,1096,0.23997435731192426,0.2399743573119243,581,"{""objective"": ""0.23997435731192426"", ""number_of_nodes"": ""21"", ""time_masters_init"": ""0.06"", ""time_masters_solving"": ""0.02"", ""time_sub_init"": ""0.18"", ""time_sub_solving"": ""0.63"", ""time_global"": ""0.05"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.08"", ""master_relaxation"": ""0.231698"", ""patterns_generated_avg"": ""3.95"", ""optimal"": ""True""}"
IN_06.json-bap.out,BAP_ON_PAIRS,410,0.2399743573119243,0.2399743573119243,581,"{""objective"": ""0.2399743573119243"", ""number_of_nodes"": ""9"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.24"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.07"", ""master_relaxation"": ""0.231698"", ""patterns_generated_avg"": ""2.67"", ""optimal"": ""True""}"
IN_06.json-global.out,ILP Solver (global):predictor (Python),81,0.23997435731192418,0.2399743573119243,581,"{""objective"": ""0.23997435731192418""}"
