instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap.out,BAP,22203,0.4684633832879473,0.4684633832879473,222,"{""objective"": ""0.4684633832879473"", ""number_of_nodes"": ""95"", ""time_masters_init"": ""0.45"", ""time_masters_solving"": ""0.13"", ""time_sub_init"": ""1.58"", ""time_sub_solving"": ""15.27"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.02"", ""time_recovery"": ""4.09"", ""master_relaxation"": ""0.465646"", ""patterns_generated_avg"": ""3.15"", ""optimal"": ""False""}"
IN_000.json-bap_pair.out,BAP,8109,0.4684633832879473,0.4684633832879473,222,"{""objective"": ""0.4684633832879473"", ""number_of_nodes"": ""33"", ""time_masters_init"": ""0.18"", ""time_masters_solving"": ""0.06"", ""time_sub_init"": ""0.58"", ""time_sub_solving"": ""6.13"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.79"", ""master_relaxation"": ""0.465646"", ""patterns_generated_avg"": ""4.97"", ""optimal"": ""True""}"
IN_000.json-bap_task.out,BAP,3028,0.4684633832879474,0.4684633832879474,222,"{""objective"": ""0.4684633832879474"", ""number_of_nodes"": ""7"", ""time_masters_init"": ""0.07"", ""time_masters_solving"": ""0.02"", ""time_sub_init"": ""0.23"", ""time_sub_solving"": ""2.51"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.12"", ""master_relaxation"": ""0.465646"", ""patterns_generated_avg"": ""10.14"", ""optimal"": ""True""}"
IN_000.json-global.out,ILP Solver (global):predictor (Python),13332,0.46846338328794046,0.4684633832879473,222,"{""objective"": ""0.46846338328794046""}"
IN_001.json-bap.out,BAP,618,0.35148138078384183,0.35148138078384183,600,"{""objective"": ""0.35148138078384183"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.09"", ""time_sub_solving"": ""0.45"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.04"", ""master_relaxation"": ""0.351481"", ""patterns_generated_avg"": ""21.00"", ""optimal"": ""True""}"
IN_001.json-bap_pair.out,BAP,432,0.35148138078384183,0.35148138078384183,600,"{""objective"": ""0.35148138078384183"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.31"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.04"", ""master_relaxation"": ""0.351481"", ""patterns_generated_avg"": ""21.00"", ""optimal"": ""True""}"
IN_001.json-bap_task.out,BAP,502,0.35148138078384183,0.35148138078384183,600,"{""objective"": ""0.35148138078384183"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.07"", ""time_sub_solving"": ""0.37"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.03"", ""master_relaxation"": ""0.351481"", ""patterns_generated_avg"": ""21.00"", ""optimal"": ""True""}"
IN_001.json-global.out,ILP Solver (global):predictor (Python),600236,0.35148138078382907,0.35148138078384183,600,"{""objective"": ""0.35148138078382907""}"
IN_002.json-bap.out,BAP,2552,1.236569727209233,1.236569727209233,194,"{""objective"": ""1.236569727209233"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.06"", ""time_masters_solving"": ""0.02"", ""time_sub_init"": ""0.26"", ""time_sub_solving"": ""2.14"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""1.236570"", ""patterns_generated_avg"": ""61.00"", ""optimal"": ""True""}"
IN_002.json-bap_pair.out,BAP,2143,1.236569727209233,1.236569727209233,194,"{""objective"": ""1.236569727209233"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.06"", ""time_masters_solving"": ""0.02"", ""time_sub_init"": ""0.20"", ""time_sub_solving"": ""1.80"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""1.236570"", ""patterns_generated_avg"": ""61.00"", ""optimal"": ""True""}"
