instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap-support.out,BAP_ON_SUPPORTS,22,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-bap.out,BAP,22,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.02"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-bap_pair.out,BAP_ON_PAIRS,5,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.00"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-bap_task.out,BAP_ON_TASKS,31,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.03"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-global-fixed2.out,ILP-Global2,0,inf,0.0,0,"{""objective"": ""inf""}"
IN_000.json-global.out,ILP Solver (global):predictor (Python),1,-1,0.0,0,"{""objective"": ""-1""}"
IN_001.json-bap-support.out,BAP_ON_SUPPORTS,60,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.01"", ""time_sub_solving"": ""0.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""7.00"", ""optimal"": ""True""}"
IN_001.json-bap.out,BAP,78,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.03"", ""time_sub_solving"": ""0.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""12.00"", ""optimal"": ""True""}"
IN_001.json-bap_pair.out,BAP_ON_PAIRS,69,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""12.00"", ""optimal"": ""True""}"
IN_001.json-bap_task.out,BAP_ON_TASKS,76,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""12.00"", ""optimal"": ""True""}"
