instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap-mm.out,BAP_ON_TASKS,15581,0.6056726440782105,0.6056726440782104,1643,"{""objective"": ""0.6056726440782105"", ""number_of_nodes"": ""13"", ""time_masters_init"": ""0.23"", ""time_masters_solving"": ""0.04"", ""time_sub_init"": ""0.66"", ""time_sub_solving"": ""12.36"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""1.91"", ""master_relaxation"": ""0.605576"", ""patterns_generated_avg"": ""5.62"", ""optimal"": ""True""}"
IN_000.json-bap-nosymbreak.out,BAP_ON_TASKS,64577,0.6056726440782104,0.6056726440782104,1643,"{""objective"": ""0.6056726440782104"", ""number_of_nodes"": ""147"", ""time_masters_init"": ""0.71"", ""time_masters_solving"": ""0.19"", ""time_sub_init"": ""2.00"", ""time_sub_solving"": ""52.05"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""8.06"", ""master_relaxation"": ""0.605576"", ""patterns_generated_avg"": ""3.01"", ""optimal"": ""True""}"
IN_000.json-bap.out,BAP_ON_TASKS,77057,0.6056726440782104,0.6056726440782104,1643,"{""objective"": ""0.6056726440782104"", ""number_of_nodes"": ""147"", ""time_masters_init"": ""1.26"", ""time_masters_solving"": ""0.29"", ""time_sub_init"": ""2.82"", ""time_sub_solving"": ""60.55"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""10.01"", ""master_relaxation"": ""0.605576"", ""patterns_generated_avg"": ""3.05"", ""optimal"": ""True""}"
IN_000.json-global-nosymbreak.out,ILP Solver (global):predictor (Python),600019,0.606140121021604,0.6061401210216051,1669,"{""objective"": ""0.606140121021604""}"
IN_000.json-global.out,ILP Solver (global):predictor (Python),600021,0.6073473153806945,0.6073473153807005,1708,"{""objective"": ""0.6073473153806945""}"
IN_001.json-bap-mm.out,BAP_ON_TASKS,387453,2.6037185793955997,2.6037185793956,540,"{""objective"": ""2.6037185793955997"", ""number_of_nodes"": ""223"", ""time_masters_init"": ""16.31"", ""time_masters_solving"": ""6.71"", ""time_sub_init"": ""30.24"", ""time_sub_solving"": ""269.39"", ""time_global"": ""13.81"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""35.94"", ""master_relaxation"": ""2.601885"", ""patterns_generated_avg"": ""18.18"", ""optimal"": ""True""}"
IN_001.json-bap-nosymbreak.out,BAP_ON_TASKS,600863,2.629988285733743,2.629988285733743,596,"{""objective"": ""2.629988285733743"", ""number_of_nodes"": ""582"", ""time_masters_init"": ""18.16"", ""time_masters_solving"": ""9.01"", ""time_sub_init"": ""32.71"", ""time_sub_solving"": ""366.25"", ""time_global"": ""91.58"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""69.29"", ""master_relaxation"": ""2.601885"", ""patterns_generated_avg"": ""15.53"", ""optimal"": ""False""}"
IN_001.json-bap.out,BAP_ON_TASKS,600331,2.6389108852765784,2.6389108852765792,546,"{""objective"": ""2.6389108852765784"", ""number_of_nodes"": ""464"", ""time_masters_init"": ""21.91"", ""time_masters_solving"": ""9.79"", ""time_sub_init"": ""38.62"", ""time_sub_solving"": ""338.20"", ""time_global"": ""136.12"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""41.06"", ""master_relaxation"": ""2.601885"", ""patterns_generated_avg"": ""16.47"", ""optimal"": ""False""}"
IN_001.json-global-nosymbreak.out,ILP Solver (global):predictor (Python),33519,2.603718579395599,2.6037185793956,540,"{""objective"": ""2.603718579395599""}"
IN_001.json-global.out,ILP Solver (global):predictor (Python),232441,2.6037185793956,2.6037185793956006,540,"{""objective"": ""2.6037185793956""}"
