instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap.out,BAP_ON_TASKS,60304,0.3131527561459312,0.3131527561459314,488,"{""objective"": ""0.3131527561459312"", ""number_of_nodes"": ""125"", ""time_masters_init"": ""1.68"", ""time_masters_solving"": ""0.34"", ""time_sub_init"": ""2.43"", ""time_sub_solving"": ""42.50"", ""time_global"": ""6.83"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""4.50"", ""master_relaxation"": ""0.313146"", ""patterns_generated_avg"": ""4.08"", ""optimal"": ""True""}"
IN_000.json-global.out,ILP Solver (global):predictor (Python),60480,0.313152756145931,0.3131527561459314,488,"{""objective"": ""0.313152756145931""}"
IN_001.json-bap.out,BAP_ON_TASKS,168968,0.42226231787245283,0.42226231787245283,565,"{""objective"": ""0.42226231787245283"", ""number_of_nodes"": ""333"", ""time_masters_init"": ""4.80"", ""time_masters_solving"": ""1.10"", ""time_sub_init"": ""7.41"", ""time_sub_solving"": ""94.90"", ""time_global"": ""42.14"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""12.86"", ""master_relaxation"": ""0.421479"", ""patterns_generated_avg"": ""4.43"", ""optimal"": ""True""}"
IN_001.json-global.out,ILP Solver (global):predictor (Python),28026,0.4222623178724519,0.4222623178724527,565,"{""objective"": ""0.4222623178724519""}"
IN_002.json-bap.out,BAP_ON_TASKS,2630,0.4802243363578916,0.4802243363578916,654,"{""objective"": ""0.4802243363578916"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.05"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.22"", ""time_sub_solving"": ""2.22"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.08"", ""master_relaxation"": ""0.480224"", ""patterns_generated_avg"": ""51.00"", ""optimal"": ""True""}"
IN_002.json-global.out,ILP Solver (global):predictor (Python),76245,0.48022433568512096,0.4802243363578915,654,"{""objective"": ""0.48022433568512096""}"
IN_003.json-bap.out,BAP_ON_TASKS,5784946,2.316507357691645,2.316507357691645,279,"{""objective"": ""2.316507357691645"", ""number_of_nodes"": ""9"", ""time_masters_init"": ""0.37"", ""time_masters_solving"": ""0.13"", ""time_sub_init"": ""0.79"", ""time_sub_solving"": ""12.48"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""5770.87"", ""master_relaxation"": ""2.033121"", ""patterns_generated_avg"": ""17.67"", ""optimal"": ""False""}"
IN_003.json-global.out,ILP Solver (global):predictor (Python),30003,2.1338465084998868,2.1338465084998903,279,"{""objective"": ""2.1338465084998868""}"
IN_004.json-bap.out,BAP_ON_TASKS,6101,1.4507613367062386,1.4507613367062386,411,"{""objective"": ""1.4507613367062386"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.10"", ""time_masters_solving"": ""0.03"", ""time_sub_init"": ""0.35"", ""time_sub_solving"": ""5.46"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.09"", ""master_relaxation"": ""1.450761"", ""patterns_generated_avg"": ""101.00"", ""optimal"": ""True""}"
IN_004.json-global.out,ILP Solver (global):predictor (Python),15283,1.4507613367062373,1.4507613367062384,411,"{""objective"": ""1.4507613367062373""}"
IN_005.json-bap.out,BAP_ON_TASKS,349069,0.6261157177262625,0.6261157177262625,302,"{""objective"": ""0.6261157177262625"", ""number_of_nodes"": ""443"", ""time_masters_init"": ""12.11"", ""time_masters_solving"": ""4.05"", ""time_sub_init"": ""18.77"", ""time_sub_solving"": ""219.35"", ""time_global"": ""71.13"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""14.48"", ""master_relaxation"": ""0.626116"", ""patterns_generated_avg"": ""10.96"", ""optimal"": ""True""}"
IN_005.json-global.out,ILP Solver (global):predictor (Python),47583,0.6261157177262622,0.6261157177262626,302,"{""objective"": ""0.6261157177262622""}"
IN_006.json-bap.out,BAP_ON_TASKS,6817,1.0525998834909227,1.0525998834909227,334,"{""objective"": ""1.0525998834909227"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.19"", ""time_masters_solving"": ""0.10"", ""time_sub_init"": ""0.54"", ""time_sub_solving"": ""5.83"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""1.052600"", ""patterns_generated_avg"": ""157.00"", ""optimal"": ""True""}"
IN_006.json-global.out,ILP Solver (global):predictor (Python),14350,1.0525998834909227,1.052599883490923,334,"{""objective"": ""1.0525998834909227""}"
IN_007.json-bap.out,BAP_ON_TASKS,542129,0.6750038714809815,0.6750038714809815,627,"{""objective"": ""0.6750038714809815"", ""number_of_nodes"": ""1527"", ""time_masters_init"": ""13.25"", ""time_masters_solving"": ""3.23"", ""time_sub_init"": ""23.52"", ""time_sub_solving"": ""411.39"", ""time_global"": ""10.70"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""59.96"", ""master_relaxation"": ""0.672480"", ""patterns_generated_avg"": ""3.49"", ""optimal"": ""True""}"
IN_007.json-global.out,ILP Solver (global):predictor (Python),45728,0.6750038714809804,0.6750038714809815,627,"{""objective"": ""0.6750038714809804""}"
IN_008.json-bap.out,BAP_ON_TASKS,600971,0.8583792259679034,0.8583792259679036,340,"{""objective"": ""0.8583792259679034"", ""number_of_nodes"": ""306"", ""time_masters_init"": ""7.73"", ""time_masters_solving"": ""2.70"", ""time_sub_init"": ""12.43"", ""time_sub_solving"": ""164.38"", ""time_global"": ""396.50"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""10.88"", ""master_relaxation"": ""0.838582"", ""patterns_generated_avg"": ""11.13"", ""optimal"": ""False""}"
IN_008.json-global.out,ILP Solver (global):predictor (Python),227787,0.8463146591122185,0.8463146591122186,372,"{""objective"": ""0.8463146591122185""}"
IN_009.json-bap.out,BAP_ON_TASKS,221569,0.813181511986058,0.813181511986058,307,"{""objective"": ""0.813181511986058"", ""number_of_nodes"": ""237"", ""time_masters_init"": ""6.33"", ""time_masters_solving"": ""2.25"", ""time_sub_init"": ""9.63"", ""time_sub_solving"": ""134.33"", ""time_global"": ""56.25"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""7.94"", ""master_relaxation"": ""0.812154"", ""patterns_generated_avg"": ""11.07"", ""optimal"": ""True""}"
IN_009.json-global.out,ILP Solver (global):predictor (Python),15969,0.8131815119860575,0.813181511986058,307,"{""objective"": ""0.8131815119860575""}"
IN_010.json-bap.out,BAP_ON_TASKS,2463,0.3772852175534983,0.3772852175534983,541,"{""objective"": ""0.3772852175534983"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.05"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.21"", ""time_sub_solving"": ""2.10"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""0.377285"", ""patterns_generated_avg"": ""57.00"", ""optimal"": ""True""}"
IN_010.json-global.out,ILP Solver (global):predictor (Python),16623,0.3772852175534978,0.37728521755349814,541,"{""objective"": ""0.3772852175534978""}"
IN_011.json-bap.out,BAP_ON_TASKS,9526,1.1793996246926237,1.1793996246926237,324,"{""objective"": ""1.1793996246926237"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.20"", ""time_masters_solving"": ""0.09"", ""time_sub_init"": ""0.55"", ""time_sub_solving"": ""8.53"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""1.179400"", ""patterns_generated_avg"": ""165.00"", ""optimal"": ""True""}"
