instance,solver,time,objective-reported,objective,length,metadata
IN_000.json-bap-task.out,BAP_ON_TASKS,7,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-bap.out,BAP_ON_SUPPORTS,5,-1,0.0,0,"{""number_of_nodes"": ""0"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.00"", ""time_sub_solving"": ""0.00"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.00"", ""master_relaxation"": ""-1.000000"", ""patterns_generated_avg"": ""0"", ""optimal"": ""True""}"
IN_000.json-global.out,ILP-Global2,0,inf,0.0,0,"{""objective"": ""inf""}"
IN_001.json-bap-task.out,BAP_ON_TASKS,104,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.05"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.03"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""7.00"", ""optimal"": ""True""}"
IN_001.json-bap.out,BAP_ON_SUPPORTS,75,1.1466338951899544,1.1466338951899544,60,"{""objective"": ""1.1466338951899544"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.00"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.02"", ""time_sub_solving"": ""0.04"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""1.146634"", ""patterns_generated_avg"": ""7.00"", ""optimal"": ""True""}"
IN_001.json-global.out,ILP-Global2,5,1.1466338951899546,1.1466338951899544,60,"{""objective"": ""1.1466338951899546""}"
IN_002.json-bap-task.out,BAP_ON_TASKS,740,1.0283551789016396,1.0283551789016403,96,"{""objective"": ""1.0283551789016396"", ""number_of_nodes"": ""11"", ""time_masters_init"": ""0.03"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.10"", ""time_sub_solving"": ""0.45"", ""time_global"": ""0.01"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.08"", ""master_relaxation"": ""0.983375"", ""patterns_generated_avg"": ""3.18"", ""optimal"": ""True""}"
IN_002.json-bap.out,BAP_ON_SUPPORTS,383,1.0283551789016403,1.0283551789016403,96,"{""objective"": ""1.0283551789016403"", ""number_of_nodes"": ""7"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.22"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.05"", ""master_relaxation"": ""0.983375"", ""patterns_generated_avg"": ""2.71"", ""optimal"": ""True""}"
IN_002.json-global.out,ILP-Global2,3,1.0283551789016405,1.0283551789016403,96,"{""objective"": ""1.0283551789016405""}"
IN_003.json-bap-task.out,BAP_ON_TASKS,450,0.6337833695674276,0.6337833695674279,133,"{""objective"": ""0.6337833695674276"", ""number_of_nodes"": ""11"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.07"", ""time_sub_solving"": ""0.22"", ""time_global"": ""0.02"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.07"", ""master_relaxation"": ""0.631797"", ""patterns_generated_avg"": ""1.73"", ""optimal"": ""True""}"
IN_003.json-bap.out,BAP_ON_SUPPORTS,407,0.6337833695674279,0.6337833695674279,133,"{""objective"": ""0.6337833695674279"", ""number_of_nodes"": ""12"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.07"", ""time_sub_solving"": ""0.18"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""0.631797"", ""patterns_generated_avg"": ""1.67"", ""optimal"": ""True""}"
IN_003.json-global.out,ILP-Global2,8,0.6337833695674279,0.6337833695674279,133,"{""objective"": ""0.6337833695674279""}"
