benchmark,affinity,intercept,slope,runtime,command
a2time-4K,A53,0.31,0.24,1.72,./a2time-4K -v0 -c1 -i100
a2time-4K,A72,1.07,1.03,1.0,./a2time-4K -v0 -c1 -i100
a2time-4M,A53,1.15,0.31,1.71,./a2time-4M -v0 -c1 -i100
a2time-4M,A72,2.26,1.13,1.0,./a2time-4M -v0 -c1 -i100
aifirf-4K,A53,0.25,0.25,2.77,./aifirf-4K -v0 -c1 -i100
aifirf-4K,A72,1.47,1.44,1.0,./aifirf-4K -v0 -c1 -i100
aifirf-4M,A53,0.83,0.33,2.81,./aifirf-4M -v0 -c1 -i10
aifirf-4M,A72,2.32,1.72,1.0,./aifirf-4M -v0 -c1 -i10
bitmnp-4K,A53,0.23,0.21,2.08,./bitmnp-4K -v0 -c1 -i100
bitmnp-4K,A72,0.87,0.76,1.0,./bitmnp-4K -v0 -c1 -i100
bitmnp-4M,A53,0.95,0.27,2.2,./bitmnp-4M -v0 -c1 -i100
bitmnp-4M,A72,1.7,0.84,1.0,./bitmnp-4M -v0 -c1 -i100
canrdr-4K,A53,0.35,0.33,1.9,./canrdr-4K -v0 -c1 -i100
canrdr-4K,A72,1.2,1.1,1.0,./canrdr-4K -v0 -c1 -i100
canrdr-4M,A53,1.18,0.36,1.91,./canrdr-4M -v0 -c1 -i100
canrdr-4M,A72,2.32,1.33,1.0,./canrdr-4M -v0 -c1 -i100
idctrn-4K,A53,0.3,0.26,2.92,./idctrn-4K -v0 -c1 -i100
idctrn-4K,A72,1.56,1.52,1.0,./idctrn-4K -v0 -c1 -i100
idctrn-4M,A53,0.96,0.32,2.99,./idctrn-4M -v0 -c1 -i100
idctrn-4M,A72,2.4,1.74,1.0,./idctrn-4M -v0 -c1 -i100
iirflt-4K,A53,0.27,0.22,2.88,./iirflt-4K -v0 -c1 -i100
iirflt-4K,A72,1.43,1.31,1.0,./iirflt-4K -v0 -c1 -i100
iirflt-4M,A53,0.96,0.29,2.29,./iirflt-4M -v0 -c1 -i100
iirflt-4M,A72,2.33,1.55,1.0,./iirflt-4M -v0 -c1 -i100
matrix-4K,A53,0.34,0.31,2.9,./matrix-4K -v0 -c1 -i100
matrix-4K,A72,1.71,1.84,1.0,./matrix-4K -v0 -c1 -i100
matrix-4M,A53,0.73,0.45,2.84,./matrix-4M -v0 -c1 -i100
matrix-4M,A72,2.38,2.01,1.0,./matrix-4M -v0 -c1 -i100
pntrch-4K,A53,0.26,0.23,2.77,./pntrch-4K -v0 -c1 -i100
pntrch-4K,A72,1.44,1.3,1.0,./pntrch-4K -v0 -c1 -i100
pntrch-4M,A53,0.38,0.34,2.94,./pntrch-4M -v0 -c1 -i1
pntrch-4M,A72,1.72,1.59,1.0,./pntrch-4M -v0 -c1 -i1
puwmod-4K,A53,0.31,0.28,1.92,./puwmod-4K -v0 -c1 -i100
puwmod-4K,A72,1.22,1.17,1.0,./puwmod-4K -v0 -c1 -i100
puwmod-4M,A53,1.11,0.32,1.97,./puwmod-4M -v0 -c1 -i100
puwmod-4M,A72,2.32,1.46,1.0,./puwmod-4M -v0 -c1 -i100
rspeed-4K,A53,0.33,0.33,2.57,./rspeed-4K -v0 -c1 -i100
rspeed-4K,A72,1.55,1.56,1.0,./rspeed-4K -v0 -c1 -i100
rspeed-4M,A53,1.34,0.4,3.01,./rspeed-4M -v0 -c1 -i100
rspeed-4M,A72,3.3,2.31,1.0,./rspeed-4M -v0 -c1 -i100
tblook-4K,A53,0.25,0.23,3.12,./tblook-4K -v0 -c1 -i100
tblook-4K,A72,1.57,1.51,1.0,./tblook-4K -v0 -c1 -i100
tblook-4M,A53,1.01,0.25,3.25,./tblook-4M -v0 -c1 -i100
tblook-4M,A72,2.45,1.74,1.0,./tblook-4M -v0 -c1 -i100
tinyrenderer-boggie,A53,0.92,0.25,1.97,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj
tinyrenderer-boggie,A72,1.85,0.97,1.0,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj
tinyrenderer-diablo,A53,0.87,0.24,2.03,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj
tinyrenderer-diablo,A72,1.79,0.99,1.0,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj
ttsprk-4K,A53,0.34,0.34,2.03,./ttsprk-4K -v0 -c1 -i100
ttsprk-4K,A72,1.32,1.24,1.0,./ttsprk-4K -v0 -c1 -i100
ttsprk-4M,A53,0.28,0.57,2.12,./ttsprk-4M -v0 -c1 -i100
ttsprk-4M,A72,1.53,1.75,1.0,./ttsprk-4M -v0 -c1 -i100
