benchmark,imxaRatio,imxbRatio,txRatio,imxaErr,imxbErr,txErr
a2time-4K,1.71,1.72,1.08,0.00780000,0.00380000,0.00880000
a2time-4M,1.69,1.71,2.08,0.00280000,0.00150000,0.00870000
aifirf-4K,2.76,2.77,1.44,0.01000000,0.00370000,0.01200000
aifirf-4M,2.79,2.81,1.47,0.00420000,0.00330000,0.00880000
bitmnp-4K,2.07,2.08,1.39,0.01400000,0.01400000,0.06300000
bitmnp-4M,2.18,2.20,1.86,0.00370000,0.00370000,0.15000000
canrdr-4K,1.88,1.90,1.18,0.00860000,0.00470000,0.02200000
canrdr-4M,1.90,1.91,1.22,0.00180000,0.00150000,0.04300000
idctrn-4K,2.89,2.92,1.11,0.00990000,0.00640000,0.00850000
idctrn-4M,2.97,2.99,1.09,0.00360000,0.00210000,0.05700000
iirflt-4K,2.89,2.88,1.32,0.02100000,0.02900000,0.02600000
iirflt-4M,2.27,2.29,1.58,0.00270000,0.00250000,0.00870000
matrix-4K,2.87,2.90,0.76,0.01200000,0.01500000,0.01000000
matrix-4M,2.81,2.84,0.73,0.05300000,0.02300000,0.02500000
pntrch-4K,2.91,2.77,1.11,0.00530000,0.00510000,0.16000000
pntrch-4M,2.94,2.94,1.05,0.00410000,0.00280000,0.04800000
puwmod-4K,1.90,1.92,1.83,0.00730000,0.00260000,0.01900000
puwmod-4M,1.95,1.97,1.71,0.00190000,0.00140000,0.01500000
rspeed-4K,2.52,2.57,1.13,0.01100000,0.00530000,0.01300000
rspeed-4M,2.96,3.01,1.01,0.01100000,0.00450000,0.26000000
tblook-4K,3.11,3.12,1.10,0.01200000,0.00350000,0.01200000
tblook-4M,3.18,3.25,1.20,0.00300000,0.00420000,0.02800000
ttsprk-4K,2.01,2.03,1.30,0.00940000,0.00530000,0.01800000
ttsprk-4M,2.11,2.12,1.30,0.00890000,0.00590000,0.03400000
membench-1K-RO-R,0.99,1.00,1.33,0.01100000,0.00840000,0.01900000
membench-1M-RO-R,0.68,0.72,1.24,0.02300000,0.01600000,0.05400000
membench-4M-RO-R,1.26,1.30,0.78,0.00430000,0.00180000,0.00290000
membench-1K-RW-R,1.77,1.78,1.33,0.01700000,0.01100000,0.02100000
membench-1M-RW-R,0.81,0.91,0.76,0.03200000,0.01600000,0.02600000
membench-4M-RW-R,1.28,1.29,0.79,0.00360000,0.00550000,0.00280000
membench-1K-RO-S,0.99,1.00,1.33,0.01100000,0.00830000,0.02000000
membench-1M-RO-S,0.77,0.78,0.80,0.02100000,0.01900000,0.02800000
membench-4M-RO-S,3.25,3.40,2.81,0.03100000,0.01700000,0.03000000
membench-1K-RW-S,1.77,1.78,1.33,0.01600000,0.01100000,0.02100000
membench-1M-RW-S,0.74,0.75,1.09,0.02100000,0.02300000,0.04100000
membench-4M-RW-S,2.37,2.71,2.52,0.01400000,0.01800000,0.03400000
tinyrenderer-boggie,1.97,1.97,1.10,0.01200000,0.00800000,0.02400000
tinyrenderer-diablo,2.03,2.03,1.14,0.01400000,0.00890000,0.03000000
