benchmark,cluster,slopeimxa,interceptimxa,slopeimxb,interceptimxb,slopetx,intercepttx
a2time-4K,big,1.07,1.02,1.03,1.07,1.23,1.66
a2time-4M,big,1.18,2.52,1.13,2.26,2.09,2.64
aifirf-4K,big,1.51,1.40,1.44,1.47,1.89,2.20
aifirf-4M,big,1.79,2.57,1.72,2.32,1.83,2.41
bitmnp-4K,big,0.78,0.77,0.76,0.87,1.30,1.68
bitmnp-4M,big,0.90,1.97,0.84,1.70,1.46,2.04
canrdr-4K,big,1.20,1.15,1.10,1.20,1.91,2.26
canrdr-4M,big,1.36,2.67,1.33,2.32,2.30,2.84
idctrn-4K,big,1.58,1.51,1.52,1.56,2.13,2.42
idctrn-4M,big,1.76,2.69,1.74,2.40,2.13,2.62
iirflt-4K,big,1.46,1.35,1.31,1.43,1.52,1.90
iirflt-4M,big,1.55,2.64,1.55,2.33,1.78,2.16
matrix-4K,big,1.59,1.78,1.84,1.71,1.93,2.27
matrix-4M,big,2.01,2.65,2.01,2.38,1.81,2.14
pntrch-4K,big,1.41,1.33,1.30,1.44,1.50,1.86
pntrch-4M,big,1.83,2.01,1.59,1.72,1.55,1.98
puwmod-4K,big,1.26,1.20,1.17,1.22,1.92,2.24
puwmod-4M,big,1.47,2.66,1.46,2.32,1.93,2.47
rspeed-4K,big,1.60,1.58,1.56,1.55,1.57,1.99
rspeed-4M,big,2.36,3.69,2.31,3.30,1.92,2.55
tblook-4K,big,1.65,1.51,1.51,1.57,1.51,1.92
tblook-4M,big,1.76,2.73,1.74,2.45,1.61,2.10
ttsprk-4K,big,1.36,1.32,1.24,1.32,1.42,1.86
ttsprk-4M,big,1.98,1.58,1.75,1.53,1.51,1.86
membench-1K-RO-R,big,0.40,0.50,0.43,0.51,0.60,0.97
membench-1M-RO-R,big,0.69,1.89,0.56,1.57,0.39,1.30
membench-4M-RO-R,big,0.51,2.04,0.39,1.71,0.54,0.98
membench-1K-RW-R,big,0.77,0.85,0.80,0.87,1.36,1.76
membench-1M-RW-R,big,0.76,2.07,0.58,1.73,0.66,1.43
membench-4M-RW-R,big,0.58,2.18,0.46,1.82,0.67,1.11
membench-1K-RO-S,big,0.45,0.46,0.44,0.51,0.60,1.00
membench-1M-RO-S,big,1.19,2.18,1.06,1.87,1.84,1.61
membench-4M-RO-S,big,0.38,3.05,0.28,2.63,1.65,2.60
membench-1K-RW-S,big,0.75,0.84,0.79,0.88,1.34,1.77
membench-1M-RW-S,big,1.01,2.51,0.69,2.12,2.69,2.15
membench-4M-RW-S,big,0.38,3.21,0.33,2.72,2.04,3.52
tinyrenderer-boggie,big,1.12,2.28,0.97,1.85,0.93,1.55
tinyrenderer-diablo,big,1.14,2.23,0.99,1.79,0.92,1.46
