instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_20_5,QP-LR-UB,86729,20,928,4.219257723563111,3.452542740620719,3.2907191847504884
IN_45_8,ILP-IDLE-MIN,300009,45,2000,3.8388850165754556,4.560323153544405,3.1606337555901263
IN_25_2,ILP-IDLE-MAX,382,25,1157,4.849339179940846,4.177721531615542,3.197606373867497
IN_25_1,ILP-SM-II,175403,25,1070,2.9624672909345584,4.096143756391316,3.0863220638973834
IN_5_10,HEUR,62,5,214,4.055043479670649,5.184978087442336,3.5513611835365713
IN_60_9,QP-LR-UB,300005,60,2848,3.862733342161304,3.0182567600543666,2.950560050909802
IN_45_9,HEUR,300190,45,0,0.0,0.0,0.0
IN_55_10,ILP-SM-II,300008,55,2494,3.367127917533697,3.850378141429553,3.254715636121937
IN_25_3,HEUR,9409,25,1083,3.9775545654513618,4.8280022781088,2.851050500567542
IN_45_8,HEUR,300185,45,0,0.0,0.0,0.0
IN_5_3,ILP-IDLE-MAX,1,5,0,0.0,0.0,0.0
IN_20_8,ILP-SM-I,15749,20,899,3.2121098859952046,4.061894995939977,3.0189427735865926
IN_10_10,HEUR,196,10,403,4.5040651541689165,4.716407247511459,3.4129666388125517
IN_50_5,ILP-SM-I,300017,50,2047,2.8643461611838297,3.606269725746282,2.925702008530877
IN_20_1,ILP-SM-I,7754,20,789,3.4388536576272513,4.088257722111282,3.34043935198395
IN_5_3,ILP-SM-I,2,5,0,0.0,0.0,0.0
IN_25_10,HEUR,9245,25,1092,4.089918202730742,4.975354933480105,3.0464129347132687
IN_35_6,QP-LR-UB,300003,35,1415,3.5736620924493363,3.26434461406119,3.1050811371334053
IN_20_7,ILP-IDLE-MAX,248,20,820,5.131182947900237,4.1166575522777515,3.6194858849883076
IN_55_5,QP-LR-UB,300170,55,2198,3.5000772761824455,3.1390980505088315,2.996478795456689
IN_40_3,HEUR,194846,40,1749,4.24940573900938,5.365757861245445,3.1954101927535365
IN_25_7,ILP-SM-II,216308,25,1099,3.1654643128493003,3.8068347191968006,3.054453231817404
IN_20_9,ILP-IDLE-MIN,454,20,780,4.7595641103501505,5.6047672250237985,3.5017725669582673
IN_45_3,QP-LR-UB,300003,45,1896,3.690005282571441,2.927635858166312,2.842632863017753
IN_25_8,ILP-SM-I,300016,25,1040,3.107682711158234,4.256604405001837,3.2049772947993986
IN_55_10,ILP-IDLE-MIN,300009,55,2580,4.3120000544502295,5.847772608602042,3.6031058141194348
IN_25_9,ILP-IDLE-MAX,1225,25,1140,4.975701771990249,3.5601958410199535,3.3052730433360655
IN_35_8,ILP-IDLE-MIN,36645,35,1410,3.991007103628301,5.5220051523020395,3.5968451678742444
IN_45_8,ILP-SM-II,300004,45,2000,2.676965001605451,3.2185926565585805,2.628019599996559
IN_10_6,ILP-SM-I,88,10,265,4.033250066125765,4.546336370377615,3.282965997689869
IN_55_10,ILP-IDLE-MAX,300008,55,2580,5.261031027086252,3.8495313400555946,3.6957686953179376
IN_40_6,QP-LR-UB,300003,40,2002,4.456778335828206,3.2361303945623012,3.1573910796307434
IN_45_9,ILP-SM-I,300013,45,2062,2.6963894110817748,3.4882572858972902,2.795353185413778
IN_50_6,HEUR,300220,50,0,0.0,0.0,0.0
IN_25_7,HEUR,12918,25,1120,4.095919669792056,5.267532864230459,3.1682060170236177
IN_35_5,ILP-IDLE-MIN,45456,35,1460,3.705931509541322,4.466404011226445,3.1185258225148056
IN_30_6,HEUR,16703,30,1553,3.4659679495084745,3.952552324304051,2.7950462238770166
IN_45_4,ILP-IDLE-MIN,300007,45,2158,4.1913518627277675,5.012918699316681,3.426689951525656
IN_45_7,HEUR,2127,45,0,0.0,0.0,0.0
IN_35_9,QP-LR-UB,300004,35,1553,4.346675178380149,3.3647132736081438,3.3044027511698513
IN_30_3,ILP-SM-II,300005,30,1486,2.814261768248257,3.741373595572238,2.9392512457523177
IN_30_9,ILP-SM-I,300010,30,1363,2.9840365057770355,3.5962993088636086,3.172420956200743
IN_15_5,ILP-SM-II,1086,15,649,3.561446158312834,4.56605113619653,3.1721331411767006
IN_50_10,ILP-SM-I,300014,50,2102,2.849528318320243,3.5838919368125706,2.86246844237697
IN_35_2,HEUR,46501,35,1370,4.005649658113065,5.157437615272294,3.099576508473394
IN_10_10,ILP-IDLE-MAX,51,10,460,5.534413040850474,5.020852013655331,3.597248258904141
IN_40_6,ILP-SM-II,300004,40,2009,2.9121280915704855,4.176680060969543,2.9864353432271655
IN_55_10,ILP-SM-I,300017,55,2521,3.2015387765312378,4.2356328105002525,3.3669460954570263
IN_5_10,ILP-IDLE-MAX,2,5,230,4.903043453071429,4.274029540531532,3.641207111389741
IN_45_8,QP-LR-UB,300003,45,1977,3.4163700097948313,2.8053249672502205,2.7168856815924047
IN_40_2,ILP-IDLE-MIN,196194,40,1609,4.233180141846956,4.873530663909055,3.3166756962264285
IN_50_10,QP-LR-UB,300004,50,2088,3.9425047448432107,2.941098608590262,2.8825846321759574
IN_5_9,ILP-IDLE-MAX,1,5,280,4.808607127091714,3.480977155388466,3.0528330111032083
IN_5_5,ILP-IDLE-MAX,1,5,0,0.0,0.0,0.0
IN_10_4,ILP-SM-I,123,10,453,3.3776596066482525,3.7127669393608547,2.9577822621982466
IN_35_4,HEUR,40131,35,1456,4.071136095683996,4.923579474374124,3.0392462679436005
IN_35_6,ILP-SM-II,300003,35,1448,3.087324147388853,3.809648638743769,3.1465303566423364
IN_25_9,ILP-SM-I,213780,25,1121,2.8553508893570356,3.438746151441231,2.8252000763961096
