instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_25_1,ILP-SM-II,122058,25,1070,2.9624672909345584,4.096143756391316,3.0863220638973834
IN_20_8,ILP-SM-I,11329,20,899,3.2121098859952046,3.9732142269698634,3.0189427735865926
IN_20_1,ILP-SM-I,6848,20,789,3.4388536576272513,3.978139990670925,3.34043935198395
IN_25_7,ILP-SM-II,154272,25,1099,3.1654643128493003,3.8068347191968006,3.054453231817404
IN_25_8,ILP-SM-I,141453,25,1040,3.107682711158234,4.256604405001837,3.2049772947993986
IN_10_6,ILP-SM-I,81,10,265,4.033250066125765,4.546336370377615,3.282965997689869
IN_30_3,ILP-SM-II,153984,30,1486,2.8018255231764493,3.5897700468319376,2.9320774592616416
IN_30_9,ILP-SM-I,1200027,30,1367,2.900248180677856,4.013973758645747,3.2059511952660595
IN_15_5,ILP-SM-II,719,15,649,3.561446158312834,4.56605113619653,3.1721331411767006
IN_40_6,ILP-SM-II,1200002,40,2019,2.885679828702229,3.807427139538373,2.97252461344097
IN_10_4,ILP-SM-I,90,10,453,3.3776596066482525,3.7127669393608547,2.9577822621982466
IN_35_6,ILP-SM-II,1200003,35,1440,3.069786224015828,3.660406650389608,3.177123386293958
IN_25_9,ILP-SM-I,229716,25,1121,2.8553508893570356,3.438746151441231,2.8252000763961096
IN_20_10,ILP-SM-I,1819,20,911,2.8653695755030797,3.6113116617519894,2.7896245213436197
IN_35_9,ILP-SM-I,1200027,35,1488,3.1531082734085953,3.7318787103408173,3.17238150750132
IN_40_4,ILP-SM-II,1200005,40,1777,2.7324269665007512,3.697320460472926,2.894781912806638
IN_40_10,ILP-SM-I,1200016,40,1627,2.704846143969417,3.4619498427105904,2.8565374747111862
IN_10_9,ILP-SM-II,145,10,273,4.108953487907732,3.75417419027894,3.2682341933682557
IN_35_10,ILP-SM-II,510465,35,1583,2.766572335334319,3.485741880731201,2.877512970962417
IN_25_4,ILP-SM-I,166344,25,1198,3.0020413375344157,3.566034799967596,2.9460666625688883
IN_35_6,ILP-SM-I,1200026,35,1447,3.0884069190662484,3.682319406112597,3.14426060204432
IN_25_10,ILP-SM-II,72521,25,1090,2.8907090938633138,3.9733623528706894,3.0152279866737532
IN_20_10,ILP-SM-II,9022,20,911,2.8653695755030797,3.6408739246231225,2.7896245213436206
IN_40_5,ILP-SM-II,1200008,40,1720,2.828662805172593,3.674834898814421,3.0334399199956463
IN_20_7,ILP-SM-II,10470,20,794,3.3136463361360677,4.527331000920622,3.268726339907345
IN_30_10,ILP-SM-I,323515,30,1200,2.999925039075315,3.972029193204468,3.2303370077852165
IN_40_3,ILP-SM-II,1200002,40,1739,3.012645722780909,3.644042907353129,3.129487129496139
IN_15_8,ILP-SM-II,822,15,724,3.4870266844828923,3.7948079198008373,2.985795620066842
IN_35_9,ILP-SM-II,1200003,35,1517,3.1630891726180246,3.769167589818245,3.1693967620691583
IN_20_4,ILP-SM-II,17461,20,820,3.105726213256518,4.4804278516667235,3.0193205426378626
IN_35_7,ILP-SM-I,1200028,35,1554,2.871452244708113,3.621559022786653,2.980116193042582
IN_15_4,ILP-SM-II,640,15,613,3.7926865796099847,4.297645480498182,3.5912862270096344
IN_30_1,ILP-SM-II,325186,30,1453,2.9215684938104185,3.868689930741479,3.035555272620866
IN_25_7,ILP-SM-I,850651,25,1099,3.1654643128493003,3.8068347191968006,3.054453231817405
IN_15_1,ILP-SM-II,711,15,576,3.3708485282731777,3.931874292390794,3.158220282324697
IN_30_3,ILP-SM-I,1200023,30,1486,2.8018255231764493,3.5897700468319376,2.932077459261642
IN_40_8,ILP-SM-II,1200002,40,1776,2.7379553130885075,3.863047979087212,2.971427881233594
IN_10_4,ILP-SM-II,84,10,453,3.3776596066482525,3.7127669393608547,2.957782262198246
IN_40_3,ILP-SM-I,1200024,40,1745,3.043902864447662,4.150127486845349,3.190330501249877
IN_40_9,ILP-SM-II,1200002,40,1666,2.803101190800468,3.8127605265425877,2.9499396474707873
IN_25_8,ILP-SM-II,127931,25,1040,3.107682711158234,4.256604405001837,3.2049772947993986
IN_40_2,ILP-SM-I,1200016,40,1600,2.618701873590117,3.540859578585819,2.842755200080768
IN_15_6,ILP-SM-I,399,15,686,3.1430833589285614,3.80226966381251,2.849318989026567
IN_35_5,ILP-SM-I,1200030,35,1459,2.7047465719792942,3.639125702830537,2.856638912221064
IN_10_6,ILP-SM-II,245,10,265,4.033250066125765,4.533302402190678,3.282965997689869
IN_35_8,ILP-SM-II,166737,35,1393,2.7944326231031553,3.852328829231974,2.961065327541267
IN_25_9,ILP-SM-II,72926,25,1121,2.8553508893570356,3.438746151441231,2.8252000763961105
IN_40_1,ILP-SM-II,1009562,40,1831,2.765978492051363,3.66501820712696,2.928866495186523
IN_40_7,ILP-SM-II,1200003,40,1911,3.071373080373428,4.511134052006808,3.0540239152989317
IN_15_10,ILP-SM-II,830,15,684,3.432071420912232,4.0056396368856735,3.0848602134138563
IN_30_6,ILP-SM-II,398038,30,1472,2.7043076934054113,3.2292440780692755,2.800141122365103
IN_15_5,ILP-SM-I,258,15,649,3.561446158312834,4.566051136196531,3.1721331411766998
