instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_20_8,ILP-SM-I,7474,20,980,2.9575049342052773,3.918107293055288,2.917998652810493
IN_34_9,ILP-SM-I,1200029,34,1593,2.5281304448843,3.1473123956541746,2.563154765783981
IN_20_1,ILP-SM-I,4075,20,812,2.987634149193764,4.009374076861561,2.910628895263701
IN_26_9,ILP-SM-I,104893,26,1200,2.9414166918521127,3.743246007071783,2.858730440552533
IN_26_6,ILP-SM-I,816071,26,1043,3.4121509834561707,4.451027378027647,3.38544382369434
IN_32_4,ILP-SM-II,463454,32,1382,2.8564428523289305,3.856586695525349,2.9295546793455847
IN_22_1,ILP-SM-II,28442,22,1014,3.4207499989204937,4.211149844346554,3.27208456919174
IN_36_2,ILP-SM-II,1118871,36,1604,2.882944092496952,3.7519335711098236,2.937883699965884
IN_34_2,ILP-SM-I,1200029,34,1440,3.1140551843930937,3.765654113392172,3.219980879117466
IN_32_10,ILP-SM-I,1200034,32,1451,2.956801379461811,3.5672221072019075,2.9817211204092597
IN_30_3,ILP-SM-II,203582,30,1120,3.1227217394502267,3.857769593965761,3.2495335495654527
IN_30_9,ILP-SM-I,1200073,30,1338,3.1802206052905495,3.5313422040819247,3.092287823700412
IN_36_8,ILP-SM-II,503452,36,1430,2.574701385769165,3.66058000750462,2.6565516419810558
IN_20_10,ILP-SM-I,1638,20,853,2.657724165145693,3.693946443020921,2.7296271824912615
IN_34_10,ILP-SM-I,1200025,34,1493,2.826193344662587,3.5164469421099227,2.909376665433962
IN_24_7,ILP-SM-II,3009,24,1028,2.380873799975057,3.1188795107661083,2.541766779246825
IN_24_7,ILP-SM-I,7351,24,1028,2.380873799975057,3.1188795107661083,2.541766779246825
IN_36_5,ILP-SM-II,870126,36,1630,2.699560268232262,3.678430454025911,2.885478639978341
IN_34_4,ILP-SM-II,154560,34,1469,2.5884421859367364,3.3870215467459386,2.7186211840454004
IN_36_4,ILP-SM-I,1200029,36,1698,2.8691734336187387,3.6662207539711993,2.910041667732924
IN_32_7,ILP-SM-I,1200035,32,1398,2.961264270607914,3.8572524101663377,2.9131184628758366
IN_26_8,ILP-SM-II,95529,26,1220,3.0442377085324193,4.52938276283162,3.0508232459086746
IN_22_10,ILP-SM-I,22673,22,929,2.943810556844661,3.1841180512221547,2.959729775433572
IN_34_3,ILP-SM-I,1200025,34,1399,2.6828142987191677,3.770287784604761,2.791094261108031
IN_36_5,ILP-SM-I,1200021,36,1630,2.699560268232262,3.678430454025911,2.8854786399783423
IN_34_10,ILP-SM-II,688483,34,1494,2.810186680098375,3.607886093298952,2.9260559443662655
IN_20_10,ILP-SM-II,2188,20,853,2.657724165145693,3.693946443020921,2.729627182491262
IN_20_7,ILP-SM-II,6983,20,902,2.8996154311266573,3.5412883597573246,2.7279029482728014
IN_30_10,ILP-SM-I,1200044,30,1320,2.718152160672606,3.331829583110769,2.735204178409332
IN_26_3,ILP-SM-I,80506,26,1204,2.942074359251448,4.227043442773745,2.838210759450914
IN_34_5,ILP-SM-I,1200025,34,1461,2.405283789387023,3.25898904275571,2.540049797686703
IN_36_4,ILP-SM-II,1200004,36,1723,2.8549711139732703,3.7955474068500403,2.9746740913750114
IN_20_4,ILP-SM-II,10878,20,828,2.6860465172418326,3.759230163052193,2.702619187121977
IN_26_10,ILP-SM-II,44854,26,1220,2.8941825366327687,4.084800834115619,3.0387651183417157
IN_36_8,ILP-SM-I,1200017,36,1386,2.6030208393000067,3.0683971593118686,2.6225762901333267
IN_30_1,ILP-SM-II,237474,30,1241,2.910791983246803,4.0320281388111,3.0117234187509543
IN_30_3,ILP-SM-I,1200024,30,1120,3.1227217394502267,3.8674698721740683,3.2495335495654527
IN_34_6,ILP-SM-I,1200035,34,1608,3.0005000070289327,3.6277676594323123,3.1355536921087057
IN_34_7,ILP-SM-I,1200032,34,1614,2.8622777948960847,3.340049832287311,2.901246461939583
IN_24_4,ILP-SM-I,103117,24,1187,3.1697983296353276,3.5118052557753416,3.103787245878063
IN_26_7,ILP-SM-I,156160,26,1105,3.0584954786408054,3.775019094013671,3.085818904723106
IN_28_9,ILP-SM-II,546440,28,1285,3.083702313922744,3.606567960769711,3.135782699089264
IN_24_10,ILP-SM-I,144969,24,1028,3.117941734339427,4.159689165623847,3.157169197436357
IN_28_7,ILP-SM-II,1074890,28,1260,3.0053845930901857,4.188509894280056,3.1245078427215263
IN_26_4,ILP-SM-I,147959,26,1178,3.103847451242855,3.8684379976664687,2.9740028461234926
IN_28_4,ILP-SM-I,424117,28,1339,2.7818283677990756,4.2797410506586315,2.9802743595296994
IN_24_1,ILP-SM-II,21015,24,1000,2.988000003565656,3.7835510722382826,2.8666445242037284
IN_26_5,ILP-SM-I,127496,26,1156,2.897103462047104,3.7578580008710003,3.0026808705582066
