instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_40_10,HEUR,130956,40,1684,4.0816094566202725,4.117209129774659,2.8374121826618297
IN_30_3,ILP-IDLE-MIN,13527,30,1490,4.007758445957763,5.221604558659521,3.325615111205023
IN_40_1,HEUR,199269,40,1859,3.7669193604460327,5.106149274957781,3.039781621808622
IN_20_2,ILP-IDLE-MAX,2144,20,830,4.984734962036811,4.141124746216978,3.4623443220424184
IN_10_6,QP-LR-UB,122,10,320,4.450500039244071,3.625795653513493,3.2829659976898697
IN_15_1,ILP-IDLE-MAX,61,15,660,5.225575839750695,3.943844701920834,3.443713649853296
IN_20_1,ILP-IDLE-MIN,929,20,820,4.286487833937493,4.860138236463343,3.479437883459795
IN_25_8,ILP-IDLE-MAX,13338,25,1040,5.106528882180842,3.9159522845363965,3.463046664275501
IN_45_3,ILP-SM-I,300019,45,1898,2.8252157927422146,3.323839697787464,2.819069926775514
IN_40_9,ILP-SM-I,300013,40,1679,2.915059552802926,3.705458259004266,2.986776570995747
IN_15_10,ILP-SM-I,354,15,684,3.432071420912232,3.95294878487372,3.0848602134138554
IN_10_8,ILP-IDLE-MIN,44,10,461,4.702304374523785,5.500252537040995,3.217839804269309
IN_35_10,ILP-IDLE-MIN,91187,35,1587,3.8511446720774067,4.6260978268764585,3.0106415218295077
IN_25_3,ILP-IDLE-MAX,9141,25,1100,4.545981850840828,3.5815302159247353,3.168295998751209
IN_25_7,ILP-IDLE-MAX,68535,25,1107,5.093446471488901,3.7750536381372513,3.4377573147857565
IN_15_1,ILP-SM-II,1026,15,576,3.3708485282731777,3.931874292390794,3.158220282324697
IN_10_1,ILP-SM-II,66,10,371,3.3709487152405275,4.6283481000757,2.975688527759527
IN_35_3,ILP-SM-I,300025,35,1374,2.919151735377723,3.621272071586796,3.0195895929941647
IN_45_5,ILP-SM-II,300007,45,2032,2.93860295417116,3.586540628388992,2.9748311877832325
IN_20_2,ILP-IDLE-MIN,755,20,830,4.387819305995861,5.464717151664162,3.438953058535633
IN_30_6,ILP-IDLE-MIN,44385,30,1560,4.168083353531666,5.38867933043977,3.61499017922414
IN_30_6,ILP-SM-II,300003,30,1472,2.7043076934054113,3.2272587189626143,2.8001411223651034
IN_20_1,ILP-SM-I,7754,20,789,3.4388536576272513,4.088257722111282,3.34043935198395
IN_30_1,ILP-SM-II,300002,30,1409,2.9422876843034405,3.5726916546823024,2.9778113561617903
IN_25_6,ILP-SM-II,31089,25,1090,3.19257796529783,4.171632823705879,3.2431357650444186
IN_25_9,ILP-SM-I,213780,25,1121,2.8553508893570356,3.438746151441231,2.8252000763961096
IN_10_10,ILP-IDLE-MAX,51,10,460,5.534413040850474,5.020852013655331,3.597248258904141
IN_45_10,ILP-IDLE-MAX,300006,45,2070,5.24122224504821,3.70473324586055,3.484503701119117
IN_30_4,ILP-IDLE-MIN,14662,30,1440,3.8928472439137596,4.703877779886665,3.2758372970694065
IN_40_10,ILP-SM-I,300014,40,1660,2.709337268311244,3.4699763866374567,2.8565374747111862
IN_40_1,ILP-IDLE-MIN,300005,40,1860,4.435430149357486,5.208788084960842,3.456649247655809
IN_35_6,ILP-IDLE-MAX,7045,35,1450,5.171820727895046,4.093389539955516,3.550958402053991
IN_20_3,ILP-IDLE-MIN,653,20,970,3.772123764777921,4.626691043377091,3.121334121875235
IN_40_3,ILP-SM-I,300018,40,1700,3.1003885752984455,3.8054728662009065,3.1290190096187342
IN_40_10,ILP-IDLE-MIN,177363,40,1690,3.9432840185846096,4.993099832898229,3.6598466528380054
IN_30_4,ILP-SM-II,85499,30,1439,2.8614791872600716,3.5426225578916988,2.936983227090351
IN_25_2,ILP-IDLE-MIN,1852,25,1150,4.199608755098737,5.281316385412734,3.5201670254109216
IN_10_4,ILP-SM-II,111,10,453,3.3776596066482525,3.7127669393608547,2.957782262198246
IN_45_2,ILP-SM-I,300016,45,1898,2.943957901518596,3.4913321044109376,2.9989515558389854
IN_15_7,HEUR,787,15,803,4.748548833480696,5.961116114246664,3.3796566456681716
IN_25_5,ILP-SM-II,42939,25,1125,3.1501304356559463,4.075375895867166,3.099719503587796
IN_15_5,ILP-IDLE-MIN,196,15,650,4.11052308843686,4.635222530880754,3.1464698976667798
IN_25_9,HEUR,10417,25,1135,3.524105289526153,4.537380190132258,2.9404356071060036
IN_20_5,ILP-SM-I,4275,20,951,3.189989695966858,3.8424311708560004,3.1235589225128297
IN_30_6,ILP-IDLE-MAX,810,30,1561,4.645589737718304,3.4761548006809866,3.128133686128899
IN_45_3,HEUR,314639,45,1899,3.535889486184246,4.582539617061067,2.8871383095797665
IN_15_7,ILP-SM-II,1150,15,809,3.352865847054778,4.620108728017331,3.3064614550337006
IN_25_10,HEUR,9245,25,1092,4.089918202730742,4.975354933480105,3.0464129347132687
IN_10_2,HEUR,185,10,467,3.2838775448653164,4.464549390448843,2.781356603851854
IN_40_8,ILP-IDLE-MIN,300005,40,1790,4.055122945128873,4.8820110780650685,3.262707958133885
IN_25_7,ILP-SM-II,216308,25,1099,3.1654643128493003,3.8068347191968006,3.054453231817404
IN_20_10,ILP-SM-II,10399,20,911,2.8653695755030797,3.6113116617519894,2.789624521343621
IN_15_3,ILP-IDLE-MIN,201,15,670,3.663835844308583,4.745045463400657,2.93939885704484
IN_40_9,ILP-IDLE-MIN,148031,40,1676,4.3306369618823135,5.186980000350306,3.785246008079597
IN_45_5,ILP-IDLE-MAX,8048,45,2037,5.051700976081923,3.857256841389047,3.361857120708157
IN_10_9,ILP-IDLE-MIN,61,10,431,5.239883779266546,5.445428644506044,3.5495992130383156
IN_25_10,ILP-IDLE-MAX,831,25,1101,4.749845456413247,3.835391300674555,3.281551094730158
IN_15_2,ILP-SM-II,1879,15,640,3.5816521661005156,4.935480535296253,3.3690503252500204
IN_15_3,HEUR,722,15,670,4.2664627325623785,5.3145494288385144,2.796242440803572
IN_35_9,ILP-IDLE-MAX,3095,35,1569,5.252789831693005,4.224736261203373,3.493324319912257
IN_45_2,ILP-SM-II,300004,45,1897,3.026089486166051,3.6851440389146384,2.9561988854384578
IN_25_4,ILP-SM-II,80592,25,1198,3.0020413375344157,3.5527702628370283,2.9460666625688887
IN_10_7,QP-LR-UB,65,10,391,4.674609717290576,3.724578671299285,3.466725232170376
IN_25_3,HEUR,9409,25,1083,3.9775545654513618,4.8280022781088,2.851050500567542
IN_35_9,HEUR,52907,35,1570,4.354879010008399,5.697237069596588,3.1952748598256497
IN_10_4,HEUR,176,10,453,3.638148956317851,4.385807307960188,2.9577822621982466
IN_15_9,QP-LR-UB,2291,15,658,4.839235269541249,3.268945556168894,3.242751129151946
IN_40_7,HEUR,208272,40,1929,3.622113993547741,4.87913770211966,3.095567616909626
IN_40_6,ILP-SM-I,300014,40,1948,3.018389174907372,3.682907613461138,2.959837636064712
IN_20_4,HEUR,3824,20,839,3.789761927333616,5.2071274877211,3.031567899191486
IN_30_8,ILP-IDLE-MIN,8037,30,1350,4.319096363319291,5.425150224849438,3.5642140786516117
IN_10_1,ILP-IDLE-MIN,69,10,390,3.799538529339509,3.9725212973439157,3.196726901864661
IN_25_9,ILP-SM-II,113119,25,1121,2.8553508893570356,3.438746151441231,2.8252000763961105
IN_10_7,ILP-IDLE-MAX,28,10,410,5.581512212716952,4.566415588546054,3.456194089564281
IN_30_3,ILP-SM-II,300005,30,1486,2.814261768248257,3.741373595572238,2.9392512457523177
IN_25_9,ILP-IDLE-MIN,4304,25,1140,4.011535128768076,4.59816693558906,3.2696056477015363
IN_25_3,ILP-SM-II,40791,25,1093,2.735845476998524,3.456126556331678,2.7968069121208385
IN_20_1,QP-LR-UB,34307,20,820,4.421707334042322,3.520715098627093,3.3405244403075876
IN_25_8,HEUR,10397,25,1031,4.021346171759069,5.626162362008885,3.2149845525411895
IN_25_6,HEUR,9760,25,1089,4.3872844313536215,5.23700682605568,3.3250185911545236
IN_10_6,HEUR,212,10,308,4.428281286964193,4.265221803709027,3.2829659976898697
IN_15_5,ILP-IDLE-MAX,934,15,650,5.22829234033823,3.782081650853294,3.3668430147873902
