# Started at: 2022-04-08 20:09:05 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=10 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8b/all//inst_0455.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8b/all//inst_0455.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.06348,49100,48900,49300,47900,48300,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,50,50,0
992.318,49500,48900,49100,47900,48700,70000,600000,600000,600000,600000,600000,600000,24.589,658245.554,,,,,,,,,,3.06122,0,10.101,8.08081,30.303,7.14286
1991.83,49100,49100,49100,47900,48700,70000,600000,600000,600000,600000,600000,600000,,658251.294,,,,,,,,,,3.92157,1,1,10.101,38,4.0404
2251.83,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2991.42,49100,48900,49100,47700,48300,70000,600000,600000,600000,600000,600000,600000,,658256.897,,,,,,,,,,2.0202,1,0,12,36,6.06061
3991.98,49100,48900,49100,47700,48500,70000,600000,600000,600000,600000,600000,600000,,658262.642,,,,,,,,,,1,1,0.990099,9.18367,39,0
4991.41,49100,48500,48900,47500,48300,70000,600000,600000,600000,600000,600000,600000,,658268.260,,,,,,,,,,9.09091,0,0,11.8812,32.3232,3.9604
5992.21,48900,48500,48900,47500,48300,70000,600000,600000,600000,600000,600000,600000,,658273.914,,,,,,,,,,1.0101,0,1.96078,19,38.3838,0
6992.15,49100,48700,49100,47700,48300,70000,600000,600000,600000,600000,600000,600000,,658279.603,,,,,,,,,,2.9703,0,1,12,41,0
7992.15,48900,48500,49100,47500,48100,70000,600000,600000,600000,600000,600000,600000,,658285.294,,,,,,,,,,1,0,0,11.8812,39.604,0
8992.46,48900,48500,48700,47500,47900,70000,600000,600000,600000,600000,600000,600000,,658290.909,,,,,,,,,,1.02041,0,1.9802,11,32.3232,7.92079
9991.76,48700,48300,48700,47500,47900,70000,600000,600000,600000,600000,600000,600000,,658296.583,,,,,,,,,,3,0,0,11.1111,40.5941,2.9703
