# Started at: 2022-04-09 00:16:23 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=10 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8b/cpu//inst_0899.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8b/cpu//inst_0899.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09598,47400,47400,47500,46200,46800,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,0
112.057,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
113.094,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
994.115,47200,47000,47400,46000,46800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,23.86,748729.413,,,,,,,,,,53.6082,7.14286,22.449,4.08163,1.0101,2.0202
1091.55,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
1091.69,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
1993.88,47200,47000,47400,46000,46600,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748734.894,,,,,,,,,,49,4.0404,24.7525,0,0,9.09091
2086,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,
2097.42,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,
2994.34,47200,46800,47200,46000,46400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748740.430,,,,,,,,,,48.4848,3.9604,29,5,0,5.94059
3089.76,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,
3092.96,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,
3993.49,47000,46600,47000,46000,46800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748745.994,,,,,,,,,,49,1,28.2828,2,0.990099,9.09091
4086.97,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,
4095.21,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,
4993.72,47000,46800,47000,45600,46600,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748751.520,,,,,,,,,,49,1,26.2626,5,0,9
5087.63,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,
5094.16,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,
5994.46,47000,46600,47000,45600,46400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748757.073,,,,,,,,,,49,0,24,5.88235,0,9
6088.15,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,
6093.26,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,
6993.91,47000,46600,47200,45600,46400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748762.617,,,,,,,,,,49,0,29.2929,7,0,6
7085.66,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,
7096.48,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,
7994.07,46800,46400,47000,45400,46400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748768.161,,,,,,,,,,49,0.990099,28.2828,5,0,7.92079
8090.39,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,
8091.11,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,
8993.69,46800,47000,46800,46000,46600,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748773.752,,,,,,,,,,48.9796,1,24.7525,0,0,15.1515
9096.78,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,
9097.41,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,
9993.98,46800,46400,46800,45600,46200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,748779.216,,,,,,,,,,49.0196,1.9802,24.2424,4,0.990099,10.8911
