instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,imx8b_power
inst_0957,RandomGenerator,0,4,1000,3.39467,5.19891,1.19281493,5.837428941399725
inst_0014,RandomGenerator,0,2,1000,1.62548,1.59076,0.8351301200000001,5.95174403486766
inst_0419,RandomGenerator,0,2,1000,1.58159,1.5234100000000002,0.4702904300000001,5.571381252067079
inst_0127,RandomGenerator,0,2,1000,1.6021599999999998,1.3108499999999998,0.91718166,6.296393524597383
inst_0783,RandomGenerator,0,3,1000,3.57367,3.13351,1.51518457,6.095144759689207
inst_0028,RandomGenerator,0,4,1000,4.01847,3.92077,2.0249042100000003,6.135355075816042
inst_0803,RandomGenerator,0,4,1000,5.112760000000001,4.98621,3.2539415100000006,6.61488812284852
inst_0250,RandomGenerator,0,4,1000,3.1667,3.36561,1.7746035700000002,6.31934479017232
inst_0281,RandomGenerator,0,3,1000,1.88858,2.09312,0.91584242,5.632882041112795
inst_0257,RandomGenerator,0,1,1000,0.47289,0.5032500000000001,0.21790725,5.478097733082015
inst_0931,RandomGenerator,0,2,1000,1.32484,1.15411,0.29229234,5.659499941876737
inst_0064,RandomGenerator,0,2,1000,1.13933,0.9825,0.3653566199999999,5.767035901311811
inst_0333,RandomGenerator,0,2,1000,3.94749,2.64849,2.1066697699999994,6.689484559799512
inst_0877,RandomGenerator,0,2,1000,0.9232,1.16917,0.15746168,5.478419465040425
inst_0711,RandomGenerator,0,2,1000,0.43363,0.8649200000000001,0.12939761,5.4168177102107835
inst_0468,RandomGenerator,0,4,1000,3.2369800000000004,4.32383,1.7775090900000003,5.919212221661576
inst_0456,RandomGenerator,0,3,1000,3.16786,3.2477,1.04941439,6.009167373951402
inst_0006,RandomGenerator,0,3,1000,3.55599,2.8602100000000004,1.67675856,6.277974779116795
inst_0932,RandomGenerator,0,4,1000,1.52717,2.41624,0.82623849,6.034144402469931
inst_0146,RandomGenerator,0,4,1000,2.3427,2.7234,1.23693534,6.4328706163167215
inst_0178,RandomGenerator,0,3,1000,1.7686,2.34315,0.9299183,6.516396926111427
inst_0090,RandomGenerator,0,3,1000,3.54503,3.88667,1.34473552,5.997190203713839
inst_0433,RandomGenerator,0,3,1000,3.87903,2.94033,2.24095082,6.691050640079534
inst_0929,RandomGenerator,0,2,1000,0.7246600000000001,0.92592,0.59280906,5.530589872078902
inst_0579,RandomGenerator,0,3,1000,2.6189,2.39579,1.16794118,5.855639071418517
inst_0782,RandomGenerator,0,1,1000,2.16632,1.79515,0.4451972,5.554000069983347
inst_0780,RandomGenerator,0,2,1000,3.68343,3.32443,1.67466495,6.0875195785927865
inst_0050,RandomGenerator,0,4,1000,2.5183,2.55021,1.98625654,6.950959328369296
inst_0705,RandomGenerator,0,2,1000,3.82173,2.73762,2.3633125,6.709849838063573
inst_0328,RandomGenerator,0,4,1000,3.56691,4.37348,2.10640232,6.610731375607926
inst_0171,RandomGenerator,0,3,1000,2.80158,3.43019,1.3507048200000005,6.088418578780668
