# Started at: 2021-02-07 06:20:37 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/1/EXP2/LTF.json.yaml.csv -- demos-sched -c /root/EXP2/LTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13678,29500,30500,30300,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6138e+06,33.3333,0,33.3333,0,0,33.3333
989.504,29900,30100,30300,29100,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1512e+06,28.2828,25.2525,28.4314,18.5567,28.7129,27
1648.24,,,,,,,,,,,,,21.887,,,,,,,,,,,,,,,,
1989.96,30100,30500,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4012e+06,39.3939,36.6337,35,35.6436,31.3131,29
2989.51,30100,30900,30700,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9278e+06,41.5842,37,36.2745,33.3333,37,35.6436
3990.17,29900,30700,30700,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7008e+06,30.3922,26.4706,24,24.2424,28.7129,26
4989.71,30100,30900,30500,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5716e+06,41,37.6238,35.6436,35,27.551,31.6832
5989.32,30500,30900,30700,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6478e+06,41,37.6238,37.8641,35,36,30.303
6990.17,30100,30900,30700,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7182e+06,30,27,26.4706,23.7624,32.3529,27
7989.72,30500,31100,31100,30100,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.766e+06,37.6238,32,32,30.303,28,28
8989.3,30900,31300,31300,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5216e+06,43.1373,39,37.6238,38,37.2549,34
9989.88,30900,31300,31500,30300,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8742e+06,31.6832,28.7129,27.451,27.451,32.6733,30.3922
10989.8,30900,31900,31500,30500,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0542e+06,37.6238,33.3333,32.6733,30,30.6931,32
11710.7,,,,,,,,,,,,,21.887,,,,,,,,,,,,,,,,
11989.2,31100,31900,31900,30500,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7258e+06,41.5842,40.1961,37.6238,36,34.3434,33.6634
12989.4,31500,31900,31900,30700,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.1512e+06,34.9515,30.6931,27.7228,26,35.6436,31.3131
13989.6,31300,32300,32300,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6234e+06,33.6735,31,33.3333,28.5714,30,25.2525
14989.8,31500,32500,32100,30900,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6384e+06,40.7767,35.6436,35.2941,34.3137,32.6733,31.3131
15990.1,31700,32500,32300,31100,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7144e+06,35.7143,31.3131,31.6832,32,37.3737,34.3137
16989.3,31700,32100,32500,31300,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5282e+06,30.6931,28,26.2626,25.2525,26.5306,27.551
17990.1,31900,32500,32100,31100,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8642e+06,43,37.7551,38.835,36.6337,33.3333,31.3131
18989.4,32100,33000,33000,31500,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.981e+06,39.604,35.2941,33.3333,32.6733,37.2549,33
19989.3,32300,32500,32800,31500,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6492e+06,28.2828,25.7426,24,24,26.7327,27.8846
20989.5,32100,33000,33000,31700,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5362e+06,43,40.404,37.6238,35,34.3137,33
21774.2,,,,,,,,,,,,,21.897,,,,,,,,,,,,,,,,
21989.9,32500,32800,33200,31700,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.993e+06,42.1569,37.6238,37.6238,33.3333,37.8641,36.6337
22989.6,32300,33200,33000,31700,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.691e+06,29,27.451,24.7525,24.2424,28.2828,26.7327
23990.1,32500,33000,33600,32100,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5706e+06,40.5941,37,35.6436,36.6337,32,30
24989.5,32600,33200,33200,32100,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7846e+06,41.5842,39,36.8932,36.6337,36.6337,32.6733
25989.8,32800,33400,33400,32300,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8462e+06,30.303,27.7228,24,24,30,26.2626
26990,32500,33400,33600,32300,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5496e+06,37,33,32.3529,33.0097,31.6832,24.2424
27990,33000,33800,33800,32300,32800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5024e+06,44.6602,42.3077,39.604,37.7551,36,35.2941
28990,33000,33800,33600,32500,33000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6518e+06,32.3232,28.7129,27.7228,27.451,34,27
29989.5,33400,33800,34000,32600,32800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0162e+06,37.6238,32,31.6832,30,29.2929,30
30990,33400,33800,34200,32600,33000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9516e+06,44.5545,38.3838,37,37,36.5385,39.2157
31838.1,,,,,,,,,,,,,21.876,,,,,,,,,,,,,,,,
31989.7,33200,34200,34000,32600,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3856e+06,33.3333,30.3922,30.3922,28.7129,33.6735,30.303
32989.2,33400,34000,34000,32600,33000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6842e+06,36.2745,32,32.0388,30,31,27
33996.2,33400,34200,34200,32800,32800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8466e+06,40.5941,37.8641,34.6535,34.3137,31.6832,33.3333
34989.8,33600,34400,34400,32600,33200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8828e+06,38.6139,33.3333,34.3137,31,37.3737,31
35989.3,33800,34400,34400,33000,33200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5778e+06,31,28,27,25,26,28.7129
36989.9,33400,34400,34600,33400,33400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.625e+06,44.1176,39.8058,38,36,34.9515,32.3232
37989.7,33800,34800,34800,33200,33600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8206e+06,39.604,34,33.0097,32,36.7347,34
38989.3,33800,34800,34800,33400,33400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7264e+06,29,25,25.7426,23.2323,26,26
39989.8,34000,34400,34800,33200,33800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.276e+06,44.1176,37.6238,37.6238,35.2941,31.6832,31.3725
40990,34200,35200,34800,33400,33800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8324e+06,41.4141,39.604,37.8641,37.3737,40,34.3434
41899.6,,,,,,,,,,,,,21.897,,,,,,,,,,,,,,,,
41990.1,34200,34800,34800,33600,33600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8982e+06,31.3725,28,25,25,29,23.5294
42989.6,34400,35000,35200,33600,33800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4186e+06,40.5941,37.2549,36.3636,34.3434,32.3529,30
43989.4,34600,35200,35200,33800,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6388e+06,43.1373,38.6139,38.835,36.8932,34.3434,33
44989.9,34400,35000,35200,33800,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.879e+06,29.703,25.2525,25,23.4694,31.3131,28.7129
45989.3,34200,35000,35000,33800,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5036e+06,36.3636,33.6634,31,32,31.3725,30.3922
46989.9,34600,35400,35600,34200,34200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0198e+06,44.6602,41,39.2157,38,37.6238,36
47989.7,34600,35400,35600,34200,34200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8544e+06,32,29,26.7327,27,33.3333,28.2828
48989.4,34800,35400,35400,34400,34200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.218e+06,37.8641,32.3232,33.0097,31,30,29.703
49989.9,35000,35800,35800,34400,34400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.3216e+06,42,38.6139,37.6238,36,36.2745,34
50990.1,35000,35600,36000,34400,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.513e+06,36,36.2745,29.703,28,36.6337,31.6832
51962.1,,,,,,,,,,,,,21.887,,,,,,,,,,,,,,,,
51989.5,35000,36000,36000,34600,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7776e+06,35,32.3529,30,30,31,28.2828
52996.2,35000,36000,36000,34400,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0408e+06,40.5941,37,36.2745,33.3333,33.3333,32.6733
53989.8,35000,36200,35800,34600,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8286e+06,38.6139,33,32.3529,28.866,36.7347,35.2941
54989.3,35400,35800,36000,34400,34400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6292e+06,31.6832,29.703,26,27,28,26
55989.9,35400,36000,36200,34400,34800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.931e+06,45.098,39,37.6238,38.835,35.6436,32.3232
56989.5,35600,36400,36000,35000,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.2098e+06,38,34,33.6634,31.6832,36.6337,35
57990,35400,36200,36400,35000,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6192e+06,28,26.7327,24.2424,22.449,27,25
58989.5,35400,36400,36400,35000,35200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5248e+06,42.5743,38,37.5,35,35,32
59990.1,35400,36600,36400,35200,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7588e+06,42,38.2353,37.2549,36,38.835,38.6139
60989.8,35600,36200,36800,35000,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8434e+06,32.0388,27,25.7426,22.449,29,26.2626
61973,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
61989.2,35600,36400,36800,35000,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7686e+06,40.8163,37,37.2549,35.6436,32.6531,34
62023.4,,,,,,,,,,,,,21.897,,,,,,,,,,,,,,,,
62989.6,35600,36800,36800,35200,35200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.924e+06,43.6893,38.2353,37,35.6436,36.8932,34.3434
63990.1,35600,36600,36800,35400,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9434e+06,31,26.5306,26.2136,25,33,27.7228
64989.3,35800,36400,36600,35200,35200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7184e+06,37,33.6634,31.6832,31,28.7129,31.6832
65989.5,36000,37000,36800,35200,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.909e+06,44.1176,40.5941,39.2157,36.3636,37.3737,37.3737
66681.9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
66989.3,35800,36800,36800,35400,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7034e+06,34.6535,28.7129,27,25.2525,35.2941,30
67989.5,35800,36600,37000,35200,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.98e+06,38,32.3232,31.6832,30.6931,29,30.3922
68989.6,36000,36800,36800,35200,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0228e+06,42,38.6139,38.2353,35,36.3636,33.6634
69989.9,36000,37000,37200,35600,35600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.336e+06,34.6535,31.068,29,28.7129,36.2745,33
70990,36200,36800,37200,35400,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9724e+06,35.6436,31.3131,33.0097,28.2828,28.7129,28.2828
71992.2,36200,37000,37200,35600,35600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8394e+06,42,36.6337,39.3939,33,34.6939,32.3529
72084.6,,,,,,,,,,,,,21.897,,,,,,,,,,,,,,,,
72618.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
72989.2,36400,37000,37200,35600,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7416e+06,38.6139,33.6634,33.6634,31.6832,38.2353,34
73989.3,36400,36800,37200,35600,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4244e+06,31.6832,26.7327,26,26,28.2828,27
74989.5,36400,37200,37200,35800,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9008e+06,42.4242,39.3939,37.6238,38,37,33.6634
75989.8,36600,37400,37400,35800,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0302e+06,39.8058,34.3137,32.6733,31,36.6337,36.6337
76989.9,36600,37200,37200,36000,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.939e+06,29.703,25,26.4706,25.7426,29.4118,25.2525
77990.1,36600,37400,37500,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4808e+06,42,38,36.8932,35,34,30.6122
78989.3,36400,37400,37500,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.88e+06,40.404,38.2353,35.6436,35.6436,38,38.3838
79990.1,36600,37400,37700,36000,36200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8422e+06,29.703,26,25.7426,25,31.3725,26
80356.2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
80990,36400,37400,37400,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6232e+06,41,36.6337,35,34.3434,32,33.6634
81989.3,36800,37500,37700,35800,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4742e+06,44.1176,38,43.1373,38,36,35
82148.4,,,,,,,,,,,,,21.908,,,,,,,,,,,,,,,,
82697.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
82990,36800,37500,37500,36400,36400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7494e+06,31.6832,25.2525,25.7426,26.4706,31.6832,29.703
83989.6,37000,37500,37900,36200,36200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8006e+06,37.6238,33,31.6832,31.6832,31.6832,26.5306
83996.2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
84989.3,36800,37900,37700,36600,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6826e+06,45.5446,40.7767,39.604,37.3737,36.3636,36.2745
85989.7,37000,37500,37900,36400,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0288e+06,33,26.2626,28.1553,25.7426,35,29.2929
86989.8,37000,37700,37900,36400,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1394e+06,37.6238,32,31.6832,30.303,32.3529,28.7129
87990,37200,37700,37700,36400,36400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8196e+06,43.1373,37.6238,37.6238,36,36.3636,34.3434
88989.3,37000,37900,38100,36800,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.758e+06,36.2745,29.2929,28.4314,25.2525,36,33.6634
89989.5,37000,37700,37700,36400,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7466e+06,35,31.6832,30,31,31.3725,28.2828
90992.2,37200,38100,37900,36600,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8916e+06,41.5842,36.2745,35.2941,34.3137,34.6535,32.3529
91989.8,37400,37900,38100,36600,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1502e+06,39.604,34,31,31.3131,38.3838,38.3838
92213.2,,,,,,,,,,,,,21.919,,,,,,,,,,,,,,,,
92989.3,37200,37900,37900,36800,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6136e+06,30.303,26.2626,27.451,25,29,26.5306
93291,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
93989.8,37400,37900,38300,36800,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.737e+06,43.5644,40.1961,37.3737,37,33.3333,32.6733
94118.5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
94643.9,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
94989.4,37400,38300,38300,36800,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6894e+06,39.604,36.2745,33.0097,30.6122,37,35.2941
95989.5,37400,38300,38500,37000,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5966e+06,29,26,24.7525,26.4706,27.7228,25
96989.7,37400,38300,38300,37000,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4222e+06,42.1569,39.604,36.2745,36,32.6733,32.3232
97989.9,37500,38100,38300,36800,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8538e+06,43.1373,39,36.6337,35,36.7347,37.2549
98989.7,37400,38100,38300,36800,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0174e+06,29.2929,26.7327,26.4706,25,29.703,25
99989.3,37400,38300,38300,36800,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.645e+06,41.1765,37.6238,35.6436,35.6436,33.6634,33
100990,37500,38300,38700,37000,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9164e+06,43,38.6139,36.6337,35.6436,35.7143,33.3333
101990,37400,38100,38500,37000,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8636e+06,33.9806,27,25.7426,27.2727,31.6832,30.3922
102283,,,,,,,,,,,,,21.919,,,,,,,,,,,,,,,,
102990,37500,38100,38300,36600,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7256e+06,37,33.6634,31.6832,31.6832,29.2929,30.6931
103990,37500,38300,38300,37200,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7374e+06,44.5545,40.404,39.8058,39,38.2353,37.6238
104990,37700,38500,38700,37200,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.914e+06,33,30.0971,27.7228,24.2424,34,29
105286,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
105990,37500,38300,38500,37000,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.975e+06,38,32,31.6832,31,30.6931,29
106268,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
106951,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
106990,37700,38700,38700,37200,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6158e+06,41,38.3838,37.6238,36.6337,35.3535,32.6531
107990,37700,38700,38700,37200,37400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3754e+06,35.9223,30.6931,31.068,27,36.6337,33.0097
108990,37700,38300,38500,37000,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7252e+06,35,31.6832,31.6832,29,29.5918,29.703
109990,37900,38700,38700,37400,37400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8372e+06,41.7476,37.2549,36.8932,34.6535,34.6535,32
110989,37900,38700,38700,37400,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6556e+06,38,35.6436,31,31.6832,38.2353,33
111989,37900,38700,38700,37400,37400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2972e+06,32.3232,28,26.7327,26,27.2727,30.6122
112344,,,,,,,,,,,,,21.93,,,,,,,,,,,,,,,,
112990,37900,38900,39100,37200,37400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.105e+06,45.5446,40.5941,38,37,34,36.5385
113989,37700,38900,38700,37400,37400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1228e+06,40.1961,34.6535,36.8932,32.3529,37,34.3434
114990,37900,38700,38900,37400,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7774e+06,30,26.7327,24.7525,25,27,23.4694
115919,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
