# Started at: 2021-02-07 14:36:43 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/3/EXP2/DEMOS_OPTIMAL1.json.yaml.csv -- demos-sched -c /root/EXP2/DEMOS_OPTIMAL1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13853,29500,30100,30100,29100,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8786e+06,0,0,50,50,50,50
993.306,29900,30300,30100,28900,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6748e+06,18.9474,35.0515,30,20.202,26.3158,6.12245
1993.48,29700,30300,30300,28900,29300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.1462e+06,38.1443,41.8367,36.3636,35.3535,17,9.18367
2024.7,,,,,,,,,,,,,21.79,,,,,,,,,,,,,,,,
2993.95,29700,30300,30300,29100,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.5668e+06,33.6735,38.7755,36.3636,33.6735,19.3878,12
3993.55,29900,30500,30500,29300,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5152e+06,35.0515,42.4242,36.0825,35.7143,21.875,15.4639
4994.24,29900,30500,30500,29500,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.779e+06,42.5743,40.404,38,36,17.5258,10
5993.51,30100,30700,30500,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6586e+06,37.7551,42.8571,36.7347,36,19.802,11.1111
6993.52,30100,30900,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9074e+06,33.3333,40.404,37,35.7143,18.3673,14.2857
7993.51,30100,30900,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.525e+06,40.2062,41.8367,37.7551,38,19.7917,10.2041
8993.68,30300,30700,31100,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1302e+06,36.0825,38.7755,36.6337,33.3333,18.5567,10.2041
9993.52,30300,31100,30900,29500,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.381e+06,36,43.299,38.7755,37,19.1919,17.1717
10994.2,30700,31300,31700,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8618e+06,39.7959,40.8163,36.3636,35.7143,23.4694,11.2245
11993.3,30700,31700,31500,30100,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8914e+06,40.404,40.8163,37.1134,36.3636,20.202,11.8812
12089.5,,,,,,,,,,,,,21.812,,,,,,,,,,,,,,,,
12993.7,30900,31700,31500,30300,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.693e+06,34,39.1753,37,35.2941,17.5258,13
13994.1,31300,31900,31700,30500,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.3682e+06,38.7755,41.8367,35.0515,37,20.6186,11.3402
14993.5,31100,32100,31900,30700,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6396e+06,42.4242,45,39,38.7755,18.1818,11.1111
15993.6,31500,32300,31900,30900,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6998e+06,31.9588,41.8367,39.7959,34.3434,15.4639,16.8317
16993.5,31300,31900,31700,30700,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.617e+06,38.7755,39.7959,35,34.6939,21.2121,16.3265
