# Started at: 2021-02-07 15:40:36 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/3/EXP2/DEMOS_RANDOM3.json.yaml.csv -- demos-sched -c /root/EXP2/DEMOS_RANDOM3.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.14402,29300,29900,30300,28900,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4802e+06,0,0,0,50,0,50
994.854,29700,30500,30500,29100,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0078e+06,31.3131,20.5882,52.5253,28,13,15.4639
1994.44,29900,30500,30700,29300,29300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6952e+06,41.5842,25.5102,46.0784,38.7755,19.3878,20.3883
2164.62,,,,,,,,,,,,,21.715,,,,,,,,,,,,,,,,
2994.77,29700,30300,30700,29100,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6078e+06,42.5743,33.6634,43,44.5545,26,24.7525
3994.57,29500,30300,30100,29300,29300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6094e+06,43.5644,34,40.404,41,22.449,19.1919
4994.38,29900,30300,30500,29300,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5584e+06,42,30,47.5728,40.404,23,16.1616
5994.93,30100,30500,30700,29500,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7132e+06,46.0784,34,46,47.5248,26,21.6495
6994.51,30300,30900,30900,29500,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0062e+06,41.4141,33.3333,39,40.404,22.2222,21.5686
7995.11,30500,31100,31300,29900,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8744e+06,42.8571,31.6832,48.5437,43.5644,25.4902,16.4948
8994.81,30700,31300,31300,29900,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8564e+06,42,32.9897,44.4444,43.8776,27.7228,21.6495
9994.42,30700,31500,31700,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8486e+06,44,34.6535,42.5743,42.5743,22,19.6078
10994.5,30900,31500,31700,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9218e+06,41.4141,33,42.5743,44,24.7525,22
11995.2,31100,31700,31900,30300,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4318e+06,41.5842,32.3232,45.5446,40.404,27,21.2121
12229.3,,,,,,,,,,,,,21.726,,,,,,,,,,,,,,,,
12994.4,30900,31700,31900,30500,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0216e+06,48,34.3137,41.4141,41,22.6804,21.7822
13995,31300,31700,32100,30300,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7464e+06,40,34.6535,45.6311,45,22.7723,15.4639
14994.6,31500,32100,32100,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8282e+06,44,34.6939,47.5248,44.1176,29.703,21
15995.2,31300,32100,32300,30700,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0262e+06,46.5347,30.303,39.7959,40.404,23.2323,23.301
16994.8,31700,31900,32100,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9622e+06,39.7959,38.2353,46.0784,48.5437,23,17.3469
17994.3,31700,31900,32100,30700,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.169e+06,42.5743,29.8969,43.4343,39.3939,26,18.8119
18994.9,31700,32300,32500,30900,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6278e+06,47.0588,34,43,43,28,26.4706
19994.5,32100,32600,32500,31100,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.948e+06,41.4141,35.3535,45.098,46,26,18.8119
20995,32100,32600,32600,31500,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9522e+06,42.4242,30.6931,46.5347,39.3939,25,23.7113
21994.8,32100,32600,33000,31300,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7172e+06,45.1923,33,43,45,25.2525,23.5294
22292.5,,,,,,,,,,,,,21.726,,,,,,,,,,,,,,,,
22994.5,32100,32600,32800,31500,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.697e+06,42.8571,35,42.7184,41,23,16.4948
23994.3,32100,32600,32800,31300,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.2402e+06,42.5743,31,46,42,24.2424,15.1515
24994.9,32500,32500,32800,31700,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8526e+06,46,35.3535,45.5446,48.5149,27.2727,25
25994.5,32500,33000,33200,31900,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7214e+06,43,34.3137,43.6893,40.404,25.4902,17.8218
26995.1,32600,33400,33600,32300,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6552e+06,44.5545,33,47.5248,43,26.2626,16.8317
