# Started at: 2021-02-07 07:08:40 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/2/EXP3/DEMOS_OPTIMAL2_.json.yaml.csv -- demos-sched -c /root/EXP3/DEMOS_OPTIMAL2_.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1459,29900,30100,30100,29300,29300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5056e+06,0,0,0,50,0,0
993.402,30100,30500,30300,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.772e+06,33.6735,32,28.2828,32.6531,17.1717,29.2929
1666.99,,,,,,,,,,,,,21.833,,,,,,,,,,,,,,,,
1993.72,30100,30700,30500,29100,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8998e+06,33.6735,29.5918,39.2157,28.7129,24,23
2993.3,29700,30700,30500,29500,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8954e+06,26.2626,14.2857,22.449,25.4902,32.6733,29
3993.93,30100,31100,30700,29300,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6642e+06,28,26.2626,31.3131,23,27.8351,26.4706
4993.51,30300,30900,30900,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.69e+06,29.8969,27,32.6733,32.6733,27.7228,24.2424
5993.3,30300,30900,30900,29500,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6354e+06,33.3333,27.2727,30.303,31.3131,23.7624,22.2222
6993.87,30700,30900,31300,29700,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5862e+06,37,35.3535,42,30.6122,21.2121,19.802
7993.49,30700,31300,31500,29900,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4816e+06,25,20.4082,24,24.2424,28.5714,29.2929
8993.14,30500,31100,31300,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6976e+06,31,26,32,24.7525,27,28.4314
9993.71,31100,31500,31700,30500,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.815e+06,34,28,32.3232,31.3131,27.7228,23.2323
10993.6,31100,31900,31500,30500,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7178e+06,33.3333,29,32.3232,29.2929,28.2828,33.3333
11727.1,,,,,,,,,,,,,21.844,,,,,,,,,,,,,,,,
11993.8,31100,31900,31700,30500,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6086e+06,38,37,43.5644,33,15.8416,14.2857
12993.4,31100,31900,31900,30500,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6594e+06,26,22,24,26,31.3131,33
13994,31300,32100,32100,30900,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5786e+06,32,30,35,26.2626,22.449,24.7525
14993.7,31500,32100,32300,30900,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.969e+06,29.2929,31.068,29.5918,29,26.7327,24.2424
15993.3,31500,32500,32300,30900,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6658e+06,35.7143,26.2626,29.2929,31,28.2828,30.6931
16993.8,31500,32300,32300,31100,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.655e+06,39.604,35.7143,45.098,31,14.8515,11.2245
17993.4,32100,32600,32600,31300,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7832e+06,25,18.3673,19.5876,24,38.3838,36
18994,32100,32600,32800,31100,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5426e+06,38.2353,34,39.604,31,19,20
19993.7,32100,32800,32600,31500,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8092e+06,28.4314,23,28.5714,28.4314,25.5102,24
20993.8,32500,32800,32600,31500,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8168e+06,30.6122,28,32.6733,34,31.3131,29
21800,,,,,,,,,,,,,21.865,,,,,,,,,,,,,,,,
21993.5,32300,33200,33000,31700,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5432e+06,38,36,45,32.6531,17.8218,17
22993.1,32500,33200,33200,31900,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7268e+06,27.7228,22,21.2121,27,38.3838,34
23993.7,32600,33200,33400,32100,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9076e+06,41.8367,36.3636,42,37.3737,17.1717,18
24993.3,32600,33200,33200,32100,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5754e+06,30.6931,26.5306,31.3131,25,25.2525,25
25994.1,32600,33600,33200,32100,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7632e+06,28,24.2424,26.7327,26.2626,29,30.303
26993.1,32600,33600,33400,32300,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8534e+06,36,34,40.404,30,20.202,23
27993.8,32800,33600,33600,32500,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.814e+06,27.7228,21.2121,23.2323,27.451,32,31
28993.3,33000,33600,34000,32500,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9112e+06,41.4141,35.6436,41,38.3838,17,19
29993.9,33200,34000,34000,32500,32800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7886e+06,31.3131,34,35.6436,31,26.2626,24
