# Started at: 2021-02-07 03:20:23 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/1/EXP4/DEMOS_LTF.json.yaml.csv -- demos-sched -c /root/EXP4/DEMOS_LTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.2344,29700,30500,30900,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5714e+06,0,0,0,0,0,0
994.496,30300,31100,30700,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7686e+06,59,46.4646,34.6535,36,38,46.9388
1458.87,,,,,,,,,,,,,22.026,,,,,,,,,,,,,,,,
1994.35,30100,30700,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9774e+06,22.2222,13.1313,14.8515,13.8614,33,30
2994.76,29900,31100,30900,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7332e+06,60.396,41.5842,33.6735,31.6832,42.5743,39.3939
3994.56,30700,31300,31100,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.599e+06,36.3636,28.5714,30,25.2525,46.0784,43.4343
4994.18,30700,31300,31100,29700,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0204e+06,47.4747,26,24.7525,23.301,36.3636,35
5994.73,30700,31100,31100,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5912e+06,46,26,24.7525,20.202,35,35
6994.28,30700,31700,31300,30500,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.007e+06,39.604,27,27.7228,23,48.5149,46
7994.93,31100,31700,31700,30500,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2946e+06,40.404,25,23,20,22.2222,21.4286
