# Started at: 2022-02-24 12:01:53 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_1.json-QP-LR-UB.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_1.json-QP-LR-UB.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1054,48500,49500,49900,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
994.748,48900,50500,49700,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.769,108601.157,,,,,,,,,,46.3918,61.2245,50,29.2929,33.3333,29.5918
1884.99,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1995.27,48500,50500,49700,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108609.517,,,,,,,,,,52.4752,64,54,21.7822,35.3535,14
2778.44,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
2994.38,48500,49900,49300,47700,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108617.709,,,,,,,,,,53,64.2857,55,21.2121,21,14
3783.78,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
3790.54,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3994.94,48300,49500,49500,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108625.631,,,,,,,,,,52,64.3564,54.902,22.549,15,14
4664.07,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4740.76,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4855.88,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4994.36,48500,49500,49300,47700,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108633.535,,,,,,,,,,51,64.2857,55.5556,21.2121,14.1414,14
5994.58,48100,49500,49500,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108641.393,,,,,,,,,,50.495,66,55.5556,21.7822,15,14.1414
6697.35,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
6728.73,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
6761.17,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
6994.39,48900,49500,49700,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108649.207,,,,,,,,,,50.5051,65.6566,57,22,15,14
7994.85,48300,49500,49500,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108657.079,,,,,,,,,,50.5051,66.3366,56.4356,21,14.8515,14
8655.3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
8666.65,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
8995.01,48100,49900,49500,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108664.837,,,,,,,,,,50.5051,66,56.5657,22,14.1414,14.8515
9493.53,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9669.72,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
9732.23,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
9994.83,48700,49700,49500,47900,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108672.596,,,,,,,,,,50.9804,66.6667,56,21.7822,15,13.1313
10613.7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
10995.2,48500,49700,49700,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.812,108680.449,,,,,,,,,,51,65.6566,53,21.2121,15,14.1414
11637.9,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
11995.3,48900,49900,49700,47900,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108688.212,,,,,,,,,,50.5051,66,19.1919,21.7822,15,14
12571.9,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
12617.3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
12994.9,48700,49900,50100,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108695.872,,,,,,,,,,51,66,20,21.2121,14.1414,14
13491.1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
13543.6,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
13995,48900,49900,50100,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108703.618,,,,,,,,,,50,66,21.5686,21,15,14
14529.6,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
14609,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
14995.2,48700,49700,50100,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108711.262,,,,,,,,,,51,66.3265,19.3878,21.2121,15.6863,14
15556.1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
15748.2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
15995,48700,49900,50100,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,108718.913,,,,,,,,,,50.5051,66,20.7921,0,15,14
16487,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
16514.5,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
