# Started at: 2022-02-24 12:32:04 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_2.json-HEUR.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_2.json-HEUR.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09215,48100,49300,49300,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
994.768,48700,49500,49300,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,29.5918,62.6263,25.2525,36,24.7423,31.3131
1753.67,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1994.56,48500,49300,49300,47700,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,27.324,121772.006,,,,,,,,,,34.6535,66,21,28,26,33.3333
2740.54,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2994.35,48100,49100,49300,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121779.817,,,,,,,,,,37,65.6566,21,6,24,33.6634
3995.05,48100,49100,49300,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121787.486,,,,,,,,,,33.6634,58,20,0.990099,26.2626,36.3636
4587.55,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
4994.14,48100,49100,49300,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121795.425,,,,,,,,,,33,52,21,0,27.2727,37.6238
5294.09,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
5574.37,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5903.09,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
5995.13,47900,49500,49300,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121803.134,,,,,,,,,,33,51,21,0,28,37.3737
6561.38,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
6994.96,48100,49900,49300,47500,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121810.823,,,,,,,,,,32.3232,52,20.7921,0,26.2626,38.2353
7548.16,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
7994.82,47900,49900,49300,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121818.569,,,,,,,,,,33.6634,52,21,0,23.2323,34.3434
8994.12,48300,49900,49300,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121826.160,,,,,,,,,,33,51.5152,21,0,24,34
9395.13,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
9994.94,48300,49500,49700,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121831.652,,,,,,,,,,32.3232,41,21,0,23.7624,33
10090.5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
10375.4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
10382,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
10779.2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
10994.5,48100,49500,49700,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121839.268,,,,,,,,,,34.3137,17.1717,20.7921,0,23.2323,34
11368.9,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
11994.2,48100,49500,49300,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,27.281,121846.781,,,,,,,,,,33,18,21,0,24.7525,34
12355.7,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
12994.5,48300,49500,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121854.352,,,,,,,,,,33.6634,17.1717,20.202,0,23.2323,37
13994.5,48500,50100,49700,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121861.797,,,,,,,,,,33,18.8119,20.7921,0,24,37.3737
14202.7,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
14887.4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
14994.6,48700,50300,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121869.103,,,,,,,,,,32,18,21,0,23.2323,38.2353
15189.6,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
15642,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
15994.8,48500,50300,50100,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121876.474,,,,,,,,,,33,17,21,0,24,34.3434
16176.4,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
16994.7,48700,49700,49700,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121883.604,,,,,,,,,,33,18,20,0,23.2323,33.6634
17163.1,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
17995.1,48900,49900,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121891.000,,,,,,,,,,32.6733,18,21,0,24,33.3333
18994.8,48700,50100,50100,48500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121898.513,,,,,,,,,,33.3333,18.1818,16,0,24.2424,34.6535
19010.2,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
19683.8,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
19981.5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
19994.7,48900,49700,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121905.863,,,,,,,,,,37.6238,7,1,0,28,36.3636
19997.1,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
20983.9,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
20995.1,48900,50500,50100,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,121913.517,,,,,,,,,,37.2549,0,0,0,27,33.6634
21309.1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
21994.9,48900,50300,50100,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,27.26,121921.063,,,,,,,,,,36.3636,0.990099,0,0,25.7426,33.3333
22830.7,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
