# Started at: 2022-02-24 16:02:59 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_3.json-ILP-IDLE-MAX.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_3.json-ILP-IDLE-MAX.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09753,49500,50300,50300,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,33.3333,0,0
767.947,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
994.65,49300,50700,50300,48700,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.906,209492.086,,,,,,,,,,18,13.1313,2.04082,3.06122,39,69.697
1759.47,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1970.77,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1994.91,49100,50700,50100,48500,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209500.525,,,,,,,,,,21,11,0,0,46,53.5354
2751,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
2995.03,48700,50100,49700,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209508.082,,,,,,,,,,20,10.101,0,0.990099,33.3333,53
3014.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
3341.75,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
3742.51,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
3994.56,48500,50300,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209515.476,,,,,,,,,,20,11,0,1,33,52.4752
4734.07,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
4974.64,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
4994.79,48700,49900,49700,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209522.817,,,,,,,,,,19.1919,11,0,0,33,52.5253
5725.58,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
5995.13,48500,49900,49700,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209530.232,,,,,,,,,,20.5882,11,0,0,33,53.4653
6018.06,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
6363.57,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
6717.06,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
6994.58,48500,49900,49700,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209537.518,,,,,,,,,,20,10.101,0.990099,0,33,52.5253
7061.47,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
7708.57,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
7834.93,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
7994.98,48700,49900,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209544.915,,,,,,,,,,20,11,1,0,33,53
8517.83,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
8826.43,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
8994.98,48700,50300,49900,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209552.238,,,,,,,,,,20,10.8911,0.990099,0,29.703,52.5253
9021.93,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
9398.4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
9817.94,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
9994.64,48900,50100,50100,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209559.456,,,,,,,,,,20,11,0,0,18,53.4653
10065.3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
10809.4,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
10994.7,48900,50100,50100,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.895,209566.652,,,,,,,,,,19.1919,10.101,1,0,18,52.5253
11540.7,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
11801,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
11994.9,48900,50100,50100,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209573.820,,,,,,,,,,20,11.8812,0.990099,0,19,52.4752
12025.8,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
12792.5,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,
12995,49100,50300,50100,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209581.028,,,,,,,,,,20.5882,11.8812,0,0,18.8119,53
13069.2,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
13784,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
13994.9,48900,50100,50100,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209588.175,,,,,,,,,,20,10.101,0.990099,0,18.1818,53
14112.6,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
14559.2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
14775.5,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
14901.8,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,
14994.4,49100,50300,50300,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209595.361,,,,,,,,,,20,11,0.990099,0.990099,18.8119,52.5253
15893.3,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
15994.7,49100,50300,50500,48700,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209602.545,,,,,,,,,,20,10.8911,0,0,18.1818,53.4653
16073,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
16884.9,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,
16995,49100,50700,50500,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209609.768,,,,,,,,,,19.1919,11,0,0,18,52.5253
17116.4,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
17495.6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
17578.4,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
17876.4,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
17995,49300,50500,50500,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209616.913,,,,,,,,,,20.7921,10.101,1,0,18.8119,53
18159.8,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
18867.9,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
18995,49300,50700,50500,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209624.102,,,,,,,,,,20,11,0,0,18.1818,52
19440.5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
19859.4,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,
19994.4,49700,51100,50500,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209631.293,,,,,,,,,,20.7921,11,0,0,18,53.4653
20120.2,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
20602.5,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
20850.8,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,
20994.8,49500,50700,50500,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.917,209638.630,,,,,,,,,,19.1919,11,0.990099,0,19.802,52.5253
21163.6,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
21842.3,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,
21968.7,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
21994.6,49300,50900,50500,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209645.866,,,,,,,,,,20,10.101,0,0,18,53
22207,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
22960.2,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
22994.5,49500,50900,50700,49100,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209653.220,,,,,,,,,,20,10.8911,0,0,18.1818,53
23619.8,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
23951.7,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,
23994.3,49700,50900,50900,49300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209660.427,,,,,,,,,,19.1919,11,0,0,18.8119,52
24167.5,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
24897.4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
24943.2,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,
24994.4,49500,51100,50700,49100,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209666.013,,,,,,,,,,20.5882,11.8812,0,0,18,51.5152
25210.8,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
25934.7,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,
25994.9,49700,51100,50900,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209673.203,,,,,,,,,,20,10.101,0,0,18.1818,52.4752
26568.5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
26645.9,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
26926.2,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,
26994.4,49900,51300,50900,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209680.393,,,,,,,,,,20.7921,11,1,0,18.8119,52
27171.3,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
27917.7,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
27994.9,49900,51100,51100,49300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209687.621,,,,,,,,,,19.1919,11,0,0,18.1818,52
28214.7,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,
28909.2,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,
28994.4,49700,51300,50900,49500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,209694.878,,,,,,,,,,20,10.101,0.990099,0,18,51.5152
