# Started at: 2022-02-24 16:33:07 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_3.json-ILP-IDLE-MIN.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_3.json-ILP-IDLE-MIN.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.0824,48500,49900,49900,47900,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,50
811.449,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
994.2,48900,50500,49700,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,27.131,221936.846,,,,,,,,,,51.5152,46.4646,69.3878,47.9592,24.4898,31.6327
1788.87,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1959.67,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1993.77,48700,50500,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221945.114,,,,,,,,,,45.5446,0.990099,71.2871,20.7921,29,40.5941
2766.29,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
2994.51,48500,50100,49500,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221952.675,,,,,,,,,,16.1616,0.990099,72,19.1919,27.2727,42
3029.86,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3703.51,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
3743.67,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
3993.87,48500,50300,49700,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221960.134,,,,,,,,,,16,0,71.7172,20,28,41.5842
4721.03,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
4944.85,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4994.27,48500,50100,49500,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221967.511,,,,,,,,,,16,0,72,20,28,42
5698.42,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
5993.77,48300,49900,49300,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221974.973,,,,,,,,,,15,0,72,19.802,28.7129,41
6014.97,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
6675.8,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
6994.46,48500,49500,49300,47400,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221982.340,,,,,,,,,,16,0,72,19.1919,28,42
7084.89,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
7653.18,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
7701,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
7877.4,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
7994.27,48700,50300,49700,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221989.856,,,,,,,,,,15,0,72,20,28,41
8854.76,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
8994.6,48500,49900,49700,47900,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,221997.145,,,,,,,,,,16,0,47.5248,20,27.2727,41.4141
9000.28,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
9832.16,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
9959.4,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
9994.55,48500,49700,49500,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222002.606,,,,,,,,,,15.1515,0,25.2525,19.802,28.4314,41.5842
10070.1,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
10801.2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
10809.5,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
10994.7,48700,50300,49900,47900,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,27.163,222009.773,,,,,,,,,,15.8416,0,26,19.1919,27.2727,41.4141
11786.9,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
11985.1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
11994.2,48500,49900,49900,47900,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222017.009,,,,,,,,,,16,0,26,20,28.7129,42.1569
12764.3,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
12994.6,48500,49900,49700,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222024.133,,,,,,,,,,15.8416,0,25.7426,20,28,41.4141
13055.4,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
13741.7,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
13994.1,48700,49900,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222031.276,,,,,,,,,,16.8317,0,25.2525,20,28,42
14125.1,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
14719.1,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
14793.3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
14943.3,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
14994.4,48500,49900,49900,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222038.308,,,,,,,,,,17,0,26.7327,21,29,42
15920.6,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
15993.8,48900,49900,49900,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222045.427,,,,,,,,,,16.1616,0,25.2525,21,29,43
16039.7,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
16898,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
16994.2,48900,50100,50100,48300,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222052.507,,,,,,,,,,16.8317,0,26.7327,20.7921,29,42
17109.4,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
17875.4,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
17994.6,48900,50100,49900,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222059.462,,,,,,,,,,16.1616,0,26,21.7822,29,43
18155.7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
18179,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
18785.3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
18852.8,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
18994,48900,50300,50100,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222066.669,,,,,,,,,,16.8317,0.990099,25,21,29,42.5743
19830.1,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,
19994.4,49100,50300,50100,48500,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,222073.919,,,,,,,,,,16.1616,0,24.7525,21.7822,29,42.4242
20093.6,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
20302.5,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
20807.5,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,
