# Started at: 2022-02-24 17:03:16 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_3.json-ILP-SM-I.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_3.json-ILP-SM-I.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10265,48100,49300,49700,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
994.575,48500,50900,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.885,234494.816,,,,,,,,,,43,50,45.4545,67,20.202,11.2245
1571.86,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1698.24,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1994.83,48100,50100,49100,47400,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234502.055,,,,,,,,,,45.9184,14,44.4444,31,30,15.8416
2005.35,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2689.67,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2994.51,48500,49500,49100,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234509.276,,,,,,,,,,22.7723,15.1515,45,30.303,29,13.1313
3078.42,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3681.05,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
3995.27,48100,49900,48900,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234516.393,,,,,,,,,,18.1818,15,44,31,29,13.8614
4013.2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
4672.51,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
4994.96,48100,49500,48900,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234523.568,,,,,,,,,,19,15.1515,45,31,29,14
4998.08,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
5663.92,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
5995.28,47900,48900,48900,47200,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234530.728,,,,,,,,,,18.1818,15.8416,44.4444,31.6832,30,13
6071.68,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
6655.32,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
6995.19,48100,49700,48900,47200,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234537.795,,,,,,,,,,19.802,15.1515,44.5545,31,28.2828,13.1313
7067.68,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
7646.69,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
7989.32,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
7994.56,47900,48900,48900,47500,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234544.971,,,,,,,,,,19,15.8416,45,31,29.703,13.8614
8638.1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
8764.49,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
8995.25,48100,49100,49100,47500,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234552.051,,,,,,,,,,19.802,15.1515,45.5446,31,29,13.1313
9064.7,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
9755.88,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
9995.3,48100,48900,48900,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,234559.164,,,,,,,,,,19,15,44,31.3725,25.7426,13.8614
10119,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
10136.5,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
10747.2,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
