# Started at: 2022-02-24 23:34:29 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_5.json-ILP-SM-II.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_5.json-ILP-SM-II.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10965,48300,49500,49300,48100,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
510.925,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
994.33,48500,49300,49300,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.9,395051.661,,,,,,,,,,51.4851,52.5773,61.8557,51.0204,15.1515,16.6667
1016.73,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1341.26,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1491.87,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1892.46,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1994.77,48500,49300,49300,47500,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,395059.163,,,,,,,,,,61,69.3069,66,55.5556,13,0
2171.65,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
2349.33,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2766.54,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
2995.03,48100,49100,49300,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,395066.510,,,,,,,,,,55,62,67,62.3762,13,0
3001.98,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
3086.08,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
3206.76,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
3559.13,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
3742.33,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
3916.46,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
3994.65,48100,49100,49300,47200,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,395074.131,,,,,,,,,,49.505,66.3366,56,48.4848,13,0
4064.19,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
4434.79,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
4746.79,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
4921.58,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
4994.74,48100,49300,49300,47200,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,395081.449,,,,,,,,,,57,63.6364,64.6465,57,21,0
5310.19,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
5577.04,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
5661.14,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
5779.01,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
5995.27,48500,49300,49100,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,395088.811,,,,,,,,,,63,70,70.297,62.6263,18,0
6149.67,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6186.02,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
6491.5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
6636.44,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
6762.76,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
6994.85,48100,48900,49300,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,395096.351,,,,,,,,,,56.4356,57.8431,69,56.4356,13,0
7061.6,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
7100.06,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
