# Started at: 2022-02-25 07:35:20 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/cpu//IN_2.json-ILP-IDLE-MIN.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/cpu//IN_2.json-ILP-IDLE-MIN.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10015,45400,46400,46600,44600,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
994.323,46200,47900,47000,45000,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.064,573247.724,,,,,,,,,,71.875,57.5758,60.6061,56,41,17.1717
1994.98,46200,46800,46600,45000,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573255.982,,,,,,,,,,85.8586,56.1224,76,55,22,9
2994.3,45600,46600,46600,44800,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573263.743,,,,,,,,,,81,64.3564,58.5859,60,5,9
3994.33,46000,47000,47000,44800,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573271.561,,,,,,,,,,88.8889,69,77,58.4158,8,19.802
4995.1,45800,46800,46600,45000,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573279.462,,,,,,,,,,86.1386,53,76.2376,51,4.0404,9
5995.1,46000,47400,47000,45000,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573287.212,,,,,,,,,,80.6122,68,58.5859,60,9,9.09091
6995.34,46200,47200,47000,45200,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573295.016,,,,,,,,,,89.1089,69.3069,77,61.3861,4.9505,19.6078
7995.27,46200,46800,47000,45400,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573302.881,,,,,,,,,,84,49,74,48,4.0404,9
8994.84,46400,47500,47000,45200,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573310.579,,,,,,,,,,81.8182,70.7071,62.1359,60,9,9.90099
9994.28,46400,47200,46800,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573319.111,,,,,,,,,,86.8687,68,76,37,4.0404,18.1818
10994.8,46200,46800,47400,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.053,573326.632,,,,,,,,,,86,51,71,22,4.0404,9
11995.2,46400,47200,47000,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573334.349,,,,,,,,,,83,65.6566,63,31,8.91089,11
12995.3,46200,47200,47200,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573341.915,,,,,,,,,,86.1386,26,69,18,5,16.8317
13994.3,46600,47500,47200,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573349.327,,,,,,,,,,86.1386,33.6634,33.3333,26.7327,4,9.90099
14995.1,46600,47400,47200,45400,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573356.795,,,,,,,,,,82.8283,42,49,27,9,15
15994.5,46400,47200,47400,45600,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573364.217,,,,,,,,,,86,25,51,18,5,12.1212
16994.7,46600,47400,47400,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573371.571,,,,,,,,,,85.8586,37,33,30.303,4.0404,9.90099
17994.5,46600,47900,47400,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573379.287,,,,,,,,,,84,37.3737,53,22,8.91089,18
18994.7,46400,47500,47400,45800,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573386.535,,,,,,,,,,56,25,47,18,4.0404,9
19994.5,46800,47500,47700,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573393.907,,,,,,,,,,60,41,33.3333,34.3434,4.9505,9.09091
20994.6,46600,47500,47500,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.075,573399.385,,,,,,,,,,52.5253,33.3333,56.4356,18.8119,9,18.8119
21995.2,46600,47500,47700,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573406.932,,,,,,,,,,56.4356,25,42.4242,18,4,9
22995.1,46800,47900,47500,45800,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573414.008,,,,,,,,,,58.5859,44.4444,36.3636,22.449,8,1
23994.8,46400,47500,47700,45800,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573421.113,,,,,,,,,,49,24.2424,57.8431,0.990099,6,0.990099
24995.3,46600,47200,47500,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573428.039,,,,,,,,,,59,8,39,0.990099,4,0
25995.3,47000,47700,47400,45600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573434.949,,,,,,,,,,59.596,15,28.2828,0,9,0
26994.3,46600,47500,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573441.830,,,,,,,,,,45.4545,9.90099,45,0,4.0404,0
27994.7,46600,47500,47700,45800,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573448.680,,,,,,,,,,61.3861,8,24.2424,0,6.06061,0
28995.3,46800,47900,47400,45800,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573455.591,,,,,,,,,,61,17,24.5098,0,8.91089,0
29995.1,46600,47500,47700,45800,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573462.642,,,,,,,,,,42.4242,8.91089,46,0,5.94059,0
30994.6,47000,47500,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.096,573469.466,,,,,,,,,,64,8,23.2323,0,4.9505,0
31994.9,47200,47900,47900,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573476.261,,,,,,,,,,58,16.1616,27,0,9,0
32994.7,47000,47900,47700,46000,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573483.156,,,,,,,,,,46,8,42.5743,0,3.0303,0
33994.9,47000,47500,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573489.951,,,,,,,,,,64,8,23.2323,0,0,0
34995.1,46600,47700,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573496.751,,,,,,,,,,53.5354,16.1616,30.303,0,0,0
35994.6,46600,47900,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,573503.551,,,,,,,,,,49.4949,8,38.6139,0,0,0
