# Started at: 2022-02-25 09:35:30 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/cpu//IN_3.json-HEUR.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/cpu//IN_3.json-HEUR.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.08353,46800,47500,47900,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
995.103,46800,48500,47700,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.9,616881.656,,,,,,,,,,48.0392,65,39.1753,26.2626,28,10
1994.83,46800,48300,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616889.275,,,,,,,,,,49,69,40,20,33,14
2994.98,46800,48300,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616897.106,,,,,,,,,,50,68,39.604,19,33.3333,12.2449
3995.02,46400,48500,47500,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616904.656,,,,,,,,,,51,69,40,20,34.6535,13.8614
4994.54,46600,48100,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616912.185,,,,,,,,,,51,68.3168,39.3939,19,34,13.1313
5994.9,46800,48300,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616919.828,,,,,,,,,,51,69,40,19.1919,34.6535,13.8614
6994.96,46600,48500,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616927.344,,,,,,,,,,50.5051,68.3168,40,19,33.3333,12.2449
7995.31,47000,48700,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616934.966,,,,,,,,,,50.9804,68.6869,40.5941,19.802,34.6535,13.8614
8994.87,47000,48700,48100,46400,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616942.562,,,,,,,,,,50.5051,64,24.7525,19.1919,33.6735,13.1313
9994.72,47000,48300,48100,46200,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,616949.939,,,,,,,,,,51,25,0,19,34.6535,13.1313
