benchmark,affinity,slopeimxa,interceptimxa,slopeimxb,interceptimxb,slopetx,intercepttx
a2time-4K,little,0.2497232537391287,0.2476346997481329,0.2418995207650015,0.2444344560578661,0.5800045045045045,0.2926846846846844
a2time-4M,little,0.3524115692386657,1.3782962421469795,0.3152722258653364,0.9519121379116776,0.6962015765765767,0.5099808558558561
aifirf-4K,little,0.2632852733690904,0.1996395430486366,0.2383305209708416,0.2340051570004027,0.8408806306306307,0.3448423423423423
aifirf-4M,little,0.3679626314253736,0.9496703835860236,0.3209989693391038,0.6573638540169515,0.8924351045961215,0.5116324629714457
bitmnp-4K,little,0.2202160897805022,0.2110548830954544,0.1966626197979089,0.2453778574288883,0.4633817567567566,0.2764324324324327
bitmnp-4M,little,0.2925454420827374,1.202637172383569,0.266294329175358,0.8281220943565062,0.4893648648648647,0.4969121621621624
canrdr-4K,little,0.3721560685005431,0.1606655111173918,0.3299832408326685,0.2315548473155226,0.7469335585585587,0.3394515765765762
canrdr-4M,little,0.4149180687464311,1.360403835101823,0.3755011537810582,0.9300927164287804,1.0026655405405405,0.5859493243243246
idctrn-4K,little,0.2760194204433095,0.2253277488598239,0.2585078455955605,0.2261819160893807,0.8571373873873872,0.3621666666666669
idctrn-4M,little,0.3536776687146732,1.1517181389720026,0.3142554075379395,0.7711385046843713,0.919427927927928,0.4975416666666663
iirflt-4K,little,0.2467029096159461,0.2061375774456646,0.2295052855909555,0.2214991240550246,0.7663175675675676,0.3278986486486488
iirflt-4M,little,0.3165004134693807,1.1974815675990076,0.2899535633660057,0.7997804581462562,0.8040743243243244,0.5851216216216217
matrix-4K,little,0.3460477873921794,0.2171453969626338,0.3335254213993099,0.2015414247750238,0.920793918918919,0.3325608108108104
matrix-4M,little,0.512836061363552,0.6491392956255408,0.4313767949270035,0.4630255145239212,0.9407590090090088,0.4328693693693699
membench-1K-RO-R,little,0.1680394334163496,0.2200243323134385,0.1473708308040073,0.2286307707438517,0.3445947396549089,0.2462764467857692
membench-1K-RO-S,little,0.1644425390553952,0.2357333411872515,0.1521274221990604,0.2249168894607027,0.3378614864864864,0.233695945945946
membench-1K-RW-R,little,0.1950024176908522,0.2523965863181221,0.1835987645105898,0.2103481325319691,0.6157792792792794,0.2934977477477476
membench-1K-RW-S,little,0.1924542224772191,0.2293743070758669,0.1808139097961924,0.2072226617054768,0.6266285730645902,0.3066585890975717
membench-1M-RO-R,little,0.5720731046089496,0.370614442192446,0.3539638540109318,0.5741854404433324,0.4055427927927928,0.3237274774774774
membench-1M-RO-S,little,0.7694183493303006,0.548891603708654,0.5319358817642469,0.5728396186226359,0.5579065315315316,0.4031914414414412
membench-1M-RW-R,little,0.629845657117221,0.4839350507524615,0.3987001775162436,0.5739344515756954,0.5357117117117117,0.2854099099099096
membench-1M-RW-S,little,0.8994551790858697,0.3966595852622356,0.5292008467237537,0.6019881339398916,0.8781632882882883,0.2815259009009008
membench-4M-RO-R,little,0.2404901207821013,1.8063055698255548,0.1914517590485838,1.2297366956155953,0.3683040540540541,0.4751790540540535
membench-4M-RO-S,little,0.4460193219495461,1.811811973946786,0.3629087591866122,1.2727281382678983,0.4828355855855857,0.6854279279279272
membench-4M-RW-R,little,0.3100059882180295,1.780091640146768,0.22969553581972,1.242050724450058,0.4905585585585585,0.4941948198198198
membench-4M-RW-S,little,0.4809923394965724,2.021926050715673,0.3449902757639942,1.373691633717554,0.6489887387387387,1.2082747747747749
pntrch-4K,little,0.2639037027402671,0.226702564251525,0.2387831493354596,0.2073344981839175,0.761179054054054,0.3995270270270272
pntrch-4M,little,0.4137540761596208,0.4395494898758629,0.3437598877732618,0.314072044297375,0.7678231981981979,0.3952882882882891
puwmod-4K,little,0.3186729670708705,0.2543404557478919,0.2904875493305144,0.2164994822680732,0.691563063063063,0.3207342342342345
puwmod-4M,little,0.3646338012683732,1.3576739744676312,0.3260835424599421,0.90646297292815,0.813394144144144,0.5912038288288288
rspeed-4K,little,0.379011317016731,0.1871136569598919,0.3265305224631427,0.1981941350646083,0.8402195945945944,0.4135168918918923
rspeed-4M,little,0.4878887500707751,1.5201358310627775,0.4266070197109079,1.037703453942644,1.2284369369369366,0.9102927927927936
tblook-4K,little,0.2480810187585183,0.2091083493165904,0.2384487972855504,0.2032701812455615,0.7996722972972975,0.4000540540540536
tblook-4M,little,0.2637937776105152,1.330340057896417,0.266576550498673,0.8215447189578793,0.8991126126126124,0.4312522522522526
tinyrenderer-boggie,little,0.2923976448944616,1.3675635362510563,0.2648500424149172,0.901486860203268,0.5872038288288287,0.4857015765765764
tinyrenderer-diablo,little,0.276058562153253,1.3260525809749248,0.2581147359399987,0.8601760587883769,0.5802162162162162,0.4556554054054054
ttsprk-4K,little,0.3986020676568633,0.1896114346462001,0.3434870032582224,0.1930229223856399,0.6713400900900902,0.3916632882882878
ttsprk-4M,little,0.7086412536721273,0.001,0.484642344640702,0.1617381599298246,0.7108918918918921,0.3822972972972969
