instance,obj_sm_imx8a,obj_lr_imx8a,obj_lr_ub_imx8a,power_imx8a,obj_sm_imx8b,obj_lr_imx8b,obj_lr_ub_imx8b,power_imx8b,obj_sm_tx2,obj_lr_tx2,obj_lr_ub_tx2,power_tx2
inst_0474,5.92755096241972,5.638931036323069,6.895009776632724,5.639041708191764,5.79307305343932,5.592323582751119,6.792675308972802,5.806745098987784,3.1003696379485945,2.7868659062381536,4.3628859079071,2.898818181818182
inst_0821,5.767941903035624,5.529698319477786,5.79304060670066,5.719398907356382,5.684399570682858,5.485907669288968,5.724104345717303,5.681410379058566,2.8088554356411395,2.6805161852546138,3.2146273683558246,2.803836363636364
inst_0489,6.820469517969377,5.501043599187505,6.180224949219075,5.727026516059162,6.314305894563419,5.45826211574171,5.966382233856768,5.680112361500028,2.8682386268801183,2.6106214439080335,3.263840244252049,2.7332545454545456
inst_0835,5.752131609323618,5.551821261426659,5.965548164820454,5.731589231392035,5.694899729556936,5.509282581535412,5.906019857964689,5.700720207959895,2.931692833480671,2.7186201494875473,3.5124626883657406,2.854163636363636
inst_0962,5.738932050537701,5.545431455031224,5.812275901344323,5.732757726079092,5.72920382803413,5.501301624170282,5.7482652568039585,5.688528923582394,2.8174614078178,2.683444712279543,3.08514367604385,2.8220181818181818
inst_0121,5.718706749798513,5.518070981022062,5.845328873696979,5.732846770692232,5.672107636231122,5.476841217444577,5.789762246133867,5.668846147893365,2.8985775633285646,2.664684201316748,3.418787358439837,2.790454545454545
inst_0495,5.755592087197539,5.556576743074864,5.965548164820454,5.73546276111402,5.698234983770929,5.513842780115058,5.906019857964689,5.693400385392877,2.9407163352705945,2.7277447763712046,3.5124626883657406,2.852018181818182
inst_0990,5.711264319235758,5.507411114811152,5.845328873696979,5.737241883923937,5.664954172312555,5.466648350060561,5.789762246133867,5.655603046270337,2.875305062939037,2.640120580563553,3.418787358439837,2.775072727272727
inst_0033,5.782959344778529,5.5810792764219705,5.751722058683824,5.753993897762119,5.727857232385977,5.533127087274796,5.688870940444811,5.682324612725049,2.765298422868973,2.7123533791635563,2.9228545378263098,2.8422
inst_0503,5.842172580580409,5.552670116661709,6.672455031352989,5.76900254055874,5.653414342694506,5.510751769991741,6.596259811164895,5.704947886838081,3.0336379714989614,2.7135856423241997,4.743125326871674,2.8044545454545458
inst_0833,6.7523537698936105,5.563720415353809,7.74144104392437,5.777383642224375,6.313840901831378,5.519411822235875,7.507446003184969,5.704575282766317,3.129127265770438,2.7122027156321273,5.975134441663455,2.8003636363636364
inst_0375,5.813962473610665,5.601215902659142,5.79304060670066,5.779919732665908,5.7277288791073575,5.550596294878251,5.724104345717303,5.745754716979375,2.9553062698314827,2.8255682441865884,3.2146273683558246,3.002236363636364
inst_0383,5.807352053320275,5.578058385020642,6.418138666688467,5.782524518780973,5.725565525127064,5.531710257517377,6.312704560970221,5.7331736597417375,2.9646528090184807,2.7527037559874064,4.218283828710627,2.8729454545454547
