instance,obj_sm_imx8a,obj_lr_imx8a,obj_lr_ub_imx8a,power_imx8a,obj_sm_imx8b,obj_lr_imx8b,obj_lr_ub_imx8b,power_imx8b,obj_sm_tx2,obj_lr_tx2,obj_lr_ub_tx2,power_tx2
inst_0525,5.702767360707468,5.558849128921229,5.981779492294487,5.620256107012904,5.727752501032098,5.514209702060381,5.908640729002707,5.690135296303088,2.883558744523715,2.706195254588734,3.3585375327766647,2.7515
inst_0519,6.853508115287925,5.502887787647464,6.295486727966478,5.647059356272732,6.361680309607511,5.459768394108177,6.060524631760958,5.664733427749868,3.0065171222674687,2.615263309316683,3.5539568322926347,2.7297857142857143
inst_0234,5.68378740121394,5.533768374814209,5.981779492294487,5.6692189274474725,5.710923355749632,5.490819024881243,5.908640729002707,5.704825820684671,2.845315805507314,2.667509840417124,3.3585375327766647,2.6991785714285714
inst_0197,5.799196580139838,5.501240078213062,6.895009776632724,5.7211169630911325,5.667595714173291,5.460741402471784,6.792675308972802,5.679686289787991,2.9453628399721783,2.6141030872632576,4.3628859079071,2.7256785714285714
inst_0217,5.812963082941759,5.520743830815178,6.672455031352989,5.740549790896818,5.62352842551142,5.479802755090289,6.596259811164895,5.732063574958877,2.9799795681326797,2.6557212584986645,4.743125326871674,2.7311071428571427
inst_0826,5.724091032231642,5.519500924449003,7.8620060095603135,5.743574900704344,5.694312473163201,5.477289815576027,7.6199134391274175,5.70178111555975,2.8846175164791137,2.648514460820562,5.934394519154739,2.7290535714285715
inst_0948,7.028675603565468,5.527917132492428,6.487819276116518,5.749203438732807,6.50391452069166,5.4790446216782405,6.214332149427325,5.699030696101629,3.3677423969547178,2.658004102543037,4.1264237511325295,2.726321428571429
inst_0347,6.7943737009422716,5.529760289263353,7.69890495907519,5.756554493673038,6.189982339532453,5.48456358111253,7.370198950696002,5.67157178229272,3.077930758335365,2.646395230248954,5.177512791608514,2.711375
inst_0273,5.731358881755198,5.5361927535806075,5.845328873696979,5.757747399419942,5.684268524892685,5.494169091997405,5.789762246133867,5.688757599868837,2.9381408139907617,2.7064423565971794,3.418787358439837,2.7439642857142856
inst_0874,5.741847829334676,5.5220755282061305,6.312449441182824,5.759261285808085,5.6928307911009375,5.481079812692863,6.246918274175913,5.706885201732578,2.961851457247424,2.6656478788229157,4.283278944177301,2.743392857142857
inst_0601,5.781891719039344,5.592718403601219,5.965548164820454,5.760522000427551,5.723582915797277,5.5485002893203745,5.906019857964689,5.750192595102565,3.009294948874011,2.7970919406870007,3.5124626883657406,2.7886607142857143
inst_0785,5.832899214689935,5.612271625833353,6.418138666688467,5.768409295017651,5.751204089399813,5.566185072169449,6.312704560970221,5.726961598308669,3.039835402842006,2.828268815913914,4.218283828710627,2.781
inst_0906,5.809305273571263,5.595528861610322,5.857696381917495,5.77453592863763,5.763859618517423,5.551469392400368,5.803551889896749,5.732905783340158,2.8711680298027518,2.7613661576443884,3.16225142036372,2.794107142857143
inst_0232,6.91260068292919,5.56835780813806,6.761867601174162,5.774610363660162,6.44324768747949,5.516414738259413,6.513829292677507,5.770881332037282,3.070977523063994,2.7116201743234787,4.348807749964139,2.714107142857143
inst_0565,5.757507140862259,5.571822425594956,6.30405539363881,5.777302302945359,5.745756671214697,5.525778885256757,6.206905985806664,5.715373037821067,2.8964448185852727,2.72344625215778,3.8436812088205143,2.763910714285714
inst_0285,5.77635495444107,5.585109632964091,5.965548164820454,5.787559609998842,5.718246509054888,5.54120397159294,5.906019857964689,5.703614102753504,2.9948573460101335,2.782492537673149,3.5124626883657406,2.756232142857143
inst_0658,6.88329452900177,5.553457440385214,6.211107277104703,5.790245784642957,6.374793663935783,5.497012774258562,5.984236071120003,5.76675142845623,2.957405066627043,2.6614983328817043,3.2988446918375387,2.7113928571428576
