n,HEUR_t-avg,ILP-IDLE-MAX_t-avg,ILP-IDLE-MIN_t-avg,ILP-SM_t-avg,QP-LR-UB_t-avg,HEUR_t-std,ILP-IDLE-MAX_t-std,ILP-IDLE-MIN_t-std,ILP-SM_t-std,QP-LR-UB_t-std,HEUR_t-min,ILP-IDLE-MAX_t-min,ILP-IDLE-MIN_t-min,ILP-SM_t-min,QP-LR-UB_t-min,HEUR_t-max,ILP-IDLE-MAX_t-max,ILP-IDLE-MIN_t-max,ILP-SM_t-max,QP-LR-UB_t-max
5,0.033600000000000005,0.0011000000000000003,0.0011000000000000003,0.003,0.0019999999999999996,0.014400617270720647,0.00031622776601683794,0.00031622776601683794,0.000816496580927726,0.00047140452079103175,0.012,0.001,0.001,0.002,0.001,0.062,0.002,0.002,0.004,0.003
10,0.19229999999999997,0.03230000000000001,0.048299999999999996,0.09709999999999999,0.13710000000000003,0.015173441710216354,0.016316658154577283,0.026119596729913985,0.017278438715475554,0.05371829814463183,0.176,0.013,0.013,0.071,0.065,0.214,0.058,0.084,0.123,0.211
15,0.7421,0.4072,0.1846,0.514,3.3912,0.041530310216354845,0.530533232805553,0.024761978021869652,0.17745860237124475,1.5999865138320526,0.648,0.052,0.142,0.337,1.627,0.787,1.706,0.213,0.806,6.133
20,3.0005,2.6049,0.7264999999999999,8.9479,45.7295,0.4824353151805258,2.670570078549605,0.17000735278216644,5.621966450154845,22.697812808237227,2.269,0.186,0.454,2.205,17.409,3.824,8.621,0.955,19.416,86.729
25,10.052200000000001,10.186399999999999,4.684100000000001,207.7993,221.33869999999996,1.1683457250888252,20.97673052694342,2.6314829131541444,104.5600732679013,101.18855881202951,8.599,0.382,1.852,71.948,51.26,12.918,68.535,11.47,300.0,300.0
30,23.206200000000003,62.655199999999994,14.793199999999999,300.0,300.0,2.8231063190905314,125.12120853067948,10.911866443871501,0.0,0.0,16.703,0.515,7.194,300.0,300.0,26.682,300.0,44.385,300.0,300.0
35,50.707499999999996,95.93280000000001,48.0116,300.0,300.0,13.173424833099906,141.00710018750436,20.44857509406897,0.0,0.0,25.378,0.558,22.409,300.0,300.0,75.55,300.0,91.187,300.0,300.0
40,166.8941,126.17789999999998,228.3611,300.0,300.0,35.021352446916026,149.69656739436465,78.00386025981877,0.0,0.0,121.431,0.577,125.607,300.0,300.0,208.272,300.0,300.0,300.0,300.0
45,270.2127,46.5781,300.0,300.0,300.0,94.19571334673357,90.52455515917583,0.0,0.0,0.0,2.127,6.71,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
50,300.0,76.3269,300.0,300.0,300.0,0.0,118.69830332443678,0.0,0.0,0.0,300.0,5.981,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
55,300.0,92.31110000000001,300.0,300.0,300.0,0.0,116.24865987801036,0.0,0.0,0.0,300.0,11.434,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
60,300.0,164.2226,300.0,300.0,300.0,0.0,143.6886217796431,0.0,0.0,0.0,300.0,13.681,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
