benchmark,runtime_imx8a,runtime_imx8b,runtime_tx2
a2time-4K,2.284295315106388,2.296221336604446,1.4004333554049466
a2time-4M,2.2620103970691052,2.2947654328933984,2.0222531229640675
aifirf-4K,3.684024051310046,3.7132450030760062,1.436843344834689
aifirf-4M,3.740085660352605,3.758182008593329,1.4671793003382558
bitmnp-4K,2.76836233741968,2.7997588104408178,1.733011469301952
bitmnp-4M,2.9253356232456165,2.935163413559624,1.6872293551806885
canrdr-4K,2.505542223214371,2.54362121079426,1.160598868882612
canrdr-4M,2.5467872591851726,2.5699430198674738,1.2364708785012604
idctrn-4K,3.8758692421356344,3.8991428987235546,1.1833676472225336
idctrn-4M,3.972789403044828,3.995960875866044,1.1906945538682372
iirflt-4K,3.8078584120864982,3.8619891219014626,1.4814632132689007
iirflt-4M,3.0441332682680082,3.063005504357326,1.5663890524471078
matrix-4K,3.482816070457159,3.73367797787863,0.7797903436552065
matrix-4M,3.7602229285106663,3.794686861041872,0.8099789566848923
membench-1K-RO-R,1.3287204967659128,1.3383232779727319,1.3420782283412065
membench-1K-RO-S,1.3286464425775635,1.3380968210068742,1.3421138246428697
membench-1K-RW-R,2.3617017959008098,2.3785962143736397,1.3389098348367996
membench-1K-RW-S,2.361879420241353,2.3791128956364345,1.3386465967234098
membench-1M-RO-R,1.0258620020062024,1.1766370263183847,1.170376705804174
membench-1M-RO-S,1.0442140031770983,1.055847745047985,0.8130011807950762
membench-1M-RW-R,1.1953066752582875,1.4875942853964474,1.3591596128073424
membench-1M-RW-S,1.0338550789939867,1.0663387129958757,0.8870549574489359
membench-4M-RO-R,1.7074982679301043,1.6959218541430439,0.7876944420509934
membench-4M-RO-S,4.569106746255402,4.252957489365495,2.84576686323614
membench-4M-RW-R,1.7380116109502939,1.6982868938964746,0.7837118254715004
membench-4M-RW-S,3.192529874764394,3.74724413776494,2.5174748003877903
pntrch-4K,3.6839077771030975,3.913973751644761,1.2488008866672606
pntrch-4M,3.898870558085764,3.93133591072437,1.417019473820599
puwmod-4K,2.553376282942828,2.571714321433619,1.737359421981111
puwmod-4M,2.614650199875259,2.6366553808213467,1.842387186495996
rspeed-4K,3.396688788705955,3.4390585197458483,0.8235944821577658
rspeed-4M,4.002908716764682,4.082575563880554,0.9491750174821956
tblook-4K,4.1216309858679345,4.200066435556902,1.12454222455657
tblook-4M,4.322300654333041,4.299616432791807,1.1765669538264958
tinyrenderer-boggie,2.58869592960408,2.6166830685484825,1.1033147299611423
tinyrenderer-diablo,2.668444222744679,2.68822208152065,1.1336435474608502
ttsprk-4K,2.713079571182222,2.7241330881282053,1.4081345704990018
ttsprk-4M,2.8324395480150892,2.8627546662099554,1.3359799862356234
